id,source,target,created_at_source,created_at_target,news_id
0,lupash7,yojudenz,20171203182608,20171203194249,0
1,lupash7,WilliamNerbonne,20171203182608,20171203201542,0
2,lupash7,saveusrepublic2,20171203182608,20171203210538,0
3,lupash7,ronwagn,20171203182608,20171203235836,0
4,lupash7,ChasD3,20171203182608,20171204000916,0
5,lupash7,RealMAGASteve,20171203182608,20171204005429,0
6,lupash7,Billionaire128,20171203182608,20171204011911,0
7,lupash7,tasteofaz,20171203182608,20171204012047,0
8,lupash7,fat2energy,20171203182608,20171204022645,0
9,lupash7,sunbeltgirl,20171203182608,20171204033731,0
10,lupash7,DGHallow,20171203182608,20171204044746,0
11,lupash7,crosshairsonyou,20171203182608,20171204152345,0
12,lupash7,BillyBoysDaddy,20171203182608,20171204174031,0
13,lupash7,Mmarty1230,20171203182608,20171204182636,0
14,lupash7,cwoolley06,20171203182608,20171204223928,0
15,lupash7,ArizonaSun3,20171203182608,20171205153208,0
16,lupash7,snyder777,20171203182608,20171205174954,0
17,lupash7,155thMed,20171203182608,20171206102616,0
18,lupash7,PRheydt,20171203182608,20171208042950,0
19,lupash7,borderfox116,20171203182608,20171208110831,0
20,lupash7,Kittykatnip1970,20171203182608,20171213230122,0
21,lupash7,lawbarrett55,20171203182608,20180204020122,0
22,lupash7,MangusColorado,20171203182608,20180204144117,0
23,lupash7,tice_stacy,20171203182608,20180810022809,0
24,yojudenz,WilliamNerbonne,20171203194249,20171203201542,0
25,yojudenz,saveusrepublic2,20171203194249,20171203210538,0
26,yojudenz,ronwagn,20171203194249,20171203235836,0
27,yojudenz,ChasD3,20171203194249,20171204000916,0
28,yojudenz,RealMAGASteve,20171203194249,20171204005429,0
29,yojudenz,Billionaire128,20171203194249,20171204011911,0
30,yojudenz,tasteofaz,20171203194249,20171204012047,0
31,yojudenz,fat2energy,20171203194249,20171204022645,0
32,yojudenz,sunbeltgirl,20171203194249,20171204033731,0
33,yojudenz,DGHallow,20171203194249,20171204044746,0
34,yojudenz,crosshairsonyou,20171203194249,20171204152345,0
35,yojudenz,BillyBoysDaddy,20171203194249,20171204174031,0
36,yojudenz,Mmarty1230,20171203194249,20171204182636,0
37,yojudenz,cwoolley06,20171203194249,20171204223928,0
38,yojudenz,ArizonaSun3,20171203194249,20171205153208,0
39,yojudenz,snyder777,20171203194249,20171205174954,0
40,yojudenz,155thMed,20171203194249,20171206102616,0
41,yojudenz,PRheydt,20171203194249,20171208042950,0
42,yojudenz,borderfox116,20171203194249,20171208110831,0
43,yojudenz,Kittykatnip1970,20171203194249,20171213230122,0
44,yojudenz,lawbarrett55,20171203194249,20180204020122,0
45,yojudenz,MangusColorado,20171203194249,20180204144117,0
46,yojudenz,tice_stacy,20171203194249,20180810022809,0
47,WilliamNerbonne,saveusrepublic2,20171203201542,20171203210538,0
48,WilliamNerbonne,ronwagn,20171203201542,20171203235836,0
49,WilliamNerbonne,ChasD3,20171203201542,20171204000916,0
50,WilliamNerbonne,RealMAGASteve,20171203201542,20171204005429,0
51,WilliamNerbonne,Billionaire128,20171203201542,20171204011911,0
52,WilliamNerbonne,tasteofaz,20171203201542,20171204012047,0
53,WilliamNerbonne,fat2energy,20171203201542,20171204022645,0
54,WilliamNerbonne,sunbeltgirl,20171203201542,20171204033731,0
55,WilliamNerbonne,DGHallow,20171203201542,20171204044746,0
56,WilliamNerbonne,crosshairsonyou,20171203201542,20171204152345,0
57,WilliamNerbonne,BillyBoysDaddy,20171203201542,20171204174031,0
58,WilliamNerbonne,Mmarty1230,20171203201542,20171204182636,0
59,WilliamNerbonne,cwoolley06,20171203201542,20171204223928,0
60,WilliamNerbonne,ArizonaSun3,20171203201542,20171205153208,0
61,WilliamNerbonne,snyder777,20171203201542,20171205174954,0
62,WilliamNerbonne,155thMed,20171203201542,20171206102616,0
63,WilliamNerbonne,PRheydt,20171203201542,20171208042950,0
64,WilliamNerbonne,borderfox116,20171203201542,20171208110831,0
65,WilliamNerbonne,Kittykatnip1970,20171203201542,20171213230122,0
66,WilliamNerbonne,lawbarrett55,20171203201542,20180204020122,0
67,WilliamNerbonne,MangusColorado,20171203201542,20180204144117,0
68,WilliamNerbonne,tice_stacy,20171203201542,20180810022809,0
69,saveusrepublic2,ronwagn,20171203210538,20171203235836,0
70,saveusrepublic2,ChasD3,20171203210538,20171204000916,0
71,saveusrepublic2,RealMAGASteve,20171203210538,20171204005429,0
72,saveusrepublic2,Billionaire128,20171203210538,20171204011911,0
73,saveusrepublic2,tasteofaz,20171203210538,20171204012047,0
74,saveusrepublic2,fat2energy,20171203210538,20171204022645,0
75,saveusrepublic2,sunbeltgirl,20171203210538,20171204033731,0
76,saveusrepublic2,DGHallow,20171203210538,20171204044746,0
77,saveusrepublic2,crosshairsonyou,20171203210538,20171204152345,0
78,saveusrepublic2,BillyBoysDaddy,20171203210538,20171204174031,0
79,saveusrepublic2,Mmarty1230,20171203210538,20171204182636,0
80,saveusrepublic2,cwoolley06,20171203210538,20171204223928,0
81,saveusrepublic2,ArizonaSun3,20171203210538,20171205153208,0
82,saveusrepublic2,snyder777,20171203210538,20171205174954,0
83,saveusrepublic2,155thMed,20171203210538,20171206102616,0
84,saveusrepublic2,PRheydt,20171203210538,20171208042950,0
