number,tweet_ids,created_at,favorite_count,retweet_count,id_noticia,index,Id,user_created_at,followers,friends,verified
3,937387493451862016,20171203182608,28,18,politifact15014,0,lupash7,20140903004535,22662,17769,False
4,937406789686980608,20171203194249,1,1,politifact15014,0,yojudenz,20130513041018,23687,25165,False
5,937415066810503168,20171203201542,3,2,politifact15014,0,WilliamNerbonne,20170108030509,25514,25525,False
6,937427631661768704,20171203210538,0,1,politifact15014,0,saveusrepublic2,20120503145151,19196,18718,False
16,937471159246950401,20171203235836,0,1,politifact15014,0,ronwagn,20080921014442,4965,5675,False
17,937473844813508609,20171204000916,10,7,politifact15014,0,ChasD3,20090527071004,45853,15377,False
20,937485222257586177,20171204005429,1446,1222,politifact15014,0,RealMAGASteve,20110918035723,91735,55157,False
21,937491440082522117,20171204011911,3,1,politifact15014,0,Billionaire128,20090630012030,1572,4482,False
22,937491843851231232,20171204012047,4,2,politifact15014,0,tasteofaz,20090214022228,29666,25629,False
25,937508442352373760,20171204022645,1,1,politifact15014,0,fat2energy,20170329163826,1902,3878,False
30,937526251027402753,20171204033731,3,3,politifact15014,0,sunbeltgirl,20110816135952,59912,32337,False
32,937543928844374016,20171204044746,1,1,politifact15014,0,DGHallow,20170408155911,17004,15661,False
37,937703980158935040,20171204152345,2,1,politifact15014,0,crosshairsonyou,20150407112342,7549,7395,False
39,937738398080622592,20171204174031,1,3,politifact15014,0,BillyBoysDaddy,20100618182928,13073,12238,False
42,937749996098555911,20171204182636,4,1,politifact15014,0,Mmarty1230,20170214234902,29790,32768,False
48,937813631281934337,20171204223928,0,1,politifact15014,0,cwoolley06,20121025230754,2699,3694,False
59,938068477276860416,20171205153208,1,1,politifact15014,0,ArizonaSun3,20150804200902,6296,6919,False
62,938103147054161920,20171205174954,0,3,politifact15014,0,snyder777,20090502182908,44374,44037,False
67,938353893443977216,20171206102616,3,2,politifact15014,0,155thMed,20161217023522,3440,2071,False
72,938988970653786112,20171208042950,1,1,politifact15014,0,PRheydt,20110815105231,15165,16662,False
73,939089302167973888,20171208110831,5,6,politifact15014,0,borderfox116,20090825212707,11689,12705,False
83,941080636852523013,20171213230122,0,1,politifact15014,0,Kittykatnip1970,20091007195416,5375,4952,False
113,959970102962683905,20180204020122,115,35,politifact15014,0,lawbarrett55,20160304234548,3722,4965,False
