number,tweet_ids,created_at,favorite_count,retweet_count,id_noticia,index,Id,user_created_at,followers,friends,verified
3,937387493451862016,2017-12-03T18:26:08,28,18,politifact15014,0,lupash7,20140903004535,22662,17769,False
4,937406789686980608,2017-12-03T19:42:49,1,1,politifact15014,0,yojudenz,20130513041018,23687,25165,False
5,937415066810503168,2017-12-03T20:15:42,3,2,politifact15014,0,WilliamNerbonne,20170108030509,25514,25525,False
6,937427631661768704,2017-12-03T21:05:38,0,1,politifact15014,0,saveusrepublic2,20120503145151,19196,18718,False
16,937471159246950401,2017-12-03T23:58:36,0,1,politifact15014,0,ronwagn,20080921014442,4965,5675,False
21,937491440082522117,2017-12-04T01:19:11,3,1,politifact15014,0,Billionaire128,20090630012030,1572,4482,False
22,937491843851231232,2017-12-04T01:20:47,4,2,politifact15014,0,tasteofaz,20090214022228,29666,25629,False
25,937508442352373760,2017-12-04T02:26:45,1,1,politifact15014,0,fat2energy,20170329163826,1902,3878,False
30,937526251027402753,2017-12-04T03:37:31,3,3,politifact15014,0,sunbeltgirl,20110816135952,59912,32337,False
32,937543928844374016,2017-12-04T04:47:46,1,1,politifact15014,0,DGHallow,20170408155911,17004,15661,False
37,937703980158935040,2017-12-04T15:23:45,2,1,politifact15014,0,crosshairsonyou,20150407112342,7549,7395,False
39,937738398080622592,2017-12-04T17:40:31,1,3,politifact15014,0,BillyBoysDaddy,20100618182928,13073,12238,False
42,937749996098555911,2017-12-04T18:26:36,4,1,politifact15014,0,Mmarty1230,20170214234902,29790,32768,False
48,937813631281934337,2017-12-04T22:39:28,0,1,politifact15014,0,cwoolley06,20121025230754,2699,3694,False
59,938068477276860416,2017-12-05T15:32:08,1,1,politifact15014,0,ArizonaSun3,20150804200902,6296,6919,False
62,938103147054161920,2017-12-05T17:49:54,0,3,politifact15014,0,snyder777,20090502182908,44374,44037,False
67,938353893443977216,2017-12-06T10:26:16,3,2,politifact15014,0,155thMed,20161217023522,3440,2071,False
72,938988970653786112,2017-12-08T04:29:50,1,1,politifact15014,0,PRheydt,20110815105231,15165,16662,False
73,939089302167973888,2017-12-08T11:08:31,5,6,politifact15014,0,borderfox116,20090825212707,11689,12705,False
83,941080636852523013,2017-12-13T23:01:22,0,1,politifact15014,0,Kittykatnip1970,20091007195416,5375,4952,False
113,959970102962683905,2018-02-04T02:01:22,115,35,politifact15014,0,lawbarrett55,20160304234548,3722,4965,False
115,960161342651998208,2018-02-04T14:41:17,6,4,politifact15014,0,MangusColorado,20110104223050,4626,4480,False
128,1027743374357536768,2018-08-10T02:28:09,1,1,politifact15014,0,tice_stacy,20151110021548,10808,11481,False
129,972666281441878016,2018-03-11T02:51:27,0,2,politifact15156,1,obamolizer,20140927220504,2284,1118,False
130,972678396575559680,2018-03-11T03:39:35,9,11,politifact15156,1,OneMoreTime64,20171211012717,3466,4576,False
