id,name,weight
0,OfeliasHeaven,4
1,lorn_cramer,2
2,SuspendedAccount,459
3,lupash7,1
4,yojudenz,4
5,WilliamNerbonne,1
6,saveusrepublic2,1
7,starchaser57,1
8,Ettan1945,3
9,ThePipeStore,1
10,bronwyn1140,2
11,movie1212,1
12,michaelaw631,2
13,Nappers824,2
14,kldreams61,2
15,ronwagn,2
16,ChasD3,1
17,Kurt_770A,3
18,nhssabine,2
19,RealMAGASteve,1
20,Billionaire128,1
21,tasteofaz,1
22,Stevenehumphrey,1
23,poooopers,2
24,fat2energy,1
25,cannoneerno4,1
26,Iridium24,1
27,CalRWinn,1
28,Ace__of__Hearts,1
29,sunbeltgirl,1
30,RuffusMD,1
31,DGHallow,1
32,A1arch,1
33,letgobestill,1
34,Melissa31920880,1
35,citigirl555,1
36,crosshairsonyou,2
37,patriots4trump,1
38,BillyBoysDaddy,2
39,kin2souls,3
40,Mmarty1230,1
41,kangenagicdave,1
42,soxfaninpa1,1
43,lumpy3148,2
44,TmottaDing,1
45,cwoolley06,1
46,patrickemry,1
47,HoylandEileen,1
48,nclawyer2,1
49,bestra6169,1
50,russosimon,2
51,BigBobDC68,1
52,NEPTUNE1X2X,2
53,Shannon091171,1
54,ASteveRobinson,1
55,lesliedalehicks,2
56,ArizonaSun3,2
57,byrdiemarquez,4
58,focusnewspro,1
59,snyder777,1
60,PJ_Phares,1
61,toppertaco,4
62,jeanmarie1023,1
63,GoodScienceFYou,1
64,155thMed,1
65,RDVarley,1
66,MichaelBendall7,1
67,twin0830us,1
68,rkaley1,1
69,PRheydt,1
70,borderfox116,2
71,RoyMcCampbell,1
72,royfmc,1
73,blaze0497,4
74,jboatman3,1
75,teri3622,2
76,peggy_podod12,2
77,marvelbrannock,1
78,jerrydr,2
79,Kittykatnip1970,1
80,BrettWSabio,1
81,garzagarza1972,2
82,mks8864,2
83,PattiPropst,1
84,TVOTP1,1
85,IRONRHINO333,1
86,ccc122436,2
87,ken_parrish,1
88,mitigirl,1
89,wbrock2,1
90,oscar23_fuentes,1
91,Janice36017731,1
92,DwayneTraut,1
93,zflip26,1
94,attentionmars,2
95,Bamatopher,1
96,ImRodriguez9,1
97,saber24R,1
98,durham5611,1
99,mcall715432,2
100,oathkeeper7777,1
101,dennis_neier,1
102,zefmar88,1
103,EnglishTrerry,1
104,migueldiablo65,1
105,lawbarrett55,2
106,InezLPN,1
107,MangusColorado,3
108,RiveraVinny,2
109,cynr46_rueth,1
110,lsmoore2405,2
111,Calle48,1
112,JimCurley4,1
113,crews_donnie,1
114,JOHNWIL94936475,2
115,mimi_gant,1
116,JosephLThomasJr,1
117,CostenRon,1
118,tice_stacy,1
119,obamolizer,5
120,OneMoreTime64,1
121,SimplifyReason,1
122,ElioCollazo,2
123,FactandMythCom,1
124,VictorMiranda30,2
125,Hoaxolizer,2
126,10jhez10,1
127,SW_FLA_REALTOR,1
128,WhiteHouse24x7,1
129,Nancy_Crouse,1
130,TripTrundle,1
131,President,1
132,cdfonyo,1
133,Obamaupdate200,1
134,EINObamaNews,1
135,NY212Mick,2
136,JoAnneKlem,1
137,Dano50,1
138,SusanSharay,1
139,JazzyjaceJace,1
140,natur_luvr,1
141,DudekLinda,2
142,Kimbiwa,1
143,realtj49er,1
144,mollymoor,1
145,vevgar,1
146,roderime,1
147,msmarcellaruble,1
148,dixielolo,1
149,solusnan1,1
150,AnastasiaYeager,1
151,melissacammaran,1
152,ictchicano,1
153,Sirdemby,1
154,bobcat_cobb,1
155,noTrumpette,1
156,renerabril,1
157,CamelotK,1
158,actividadnotice,1
159,beauticountry,1
160,claverackjac,1
161,NormanGabbard1,1
162,news_todaywordl,1
163,marg55077,1
164,SusanEn1983,1
165,wendydshaffer,1
166,bhsnitzer,1
167,BBY_Big_Woody,1
168,jane747,1
169,FlintMI1,1
170,LindaOsborne60,1
171,JohnKaster,1
172,BizzbuilderKen,1
173,CatchpoleRonald,1
174,VikkiMarshall4,1
175,ganmadebbie1,1
176,MatthewBParksSr,1
177,ARTISTstacy,1
178,jacobulls1,1
179,CraigRozniecki,3
180,REaPRagone,1
181,Suma4720,1
182,carryconcealed,1
183,danilo_lopez,1
184,SikorskiJohn,1
185,StatsInTheWild,1
186,CLBallard1,1
187,FeeltheBern2018,1
188,beeinchicago,2
189,snopes,2
190,abufiras2009,1
191,jcjhot32,1
192,stylnpa,1
193,skinnergj,1
194,klnassie,2
195,LkpinkLinda,1
196,alunthe,1
197,CaroleCasuco,1
198,Fisherjonathan1,1
199,liltxhurricane4,2
200,Milvet2009,1
201,PaulaDuvall2,1
202,MarraccoNancy,1
203,andrespascual6,1
204,Seb_Aguanno,1
205,247wagering,2
206,LairdMWilcox,1
207,plainjane52,1
208,cattinks,1
209,stefan58,1
210,Brainykid2010,3
211,vivian_vsb,1
212,njvikings1,2
213,annykat41,2
214,Herbalmike,1
215,say3738,1
216,Jagauress,1
217,TruePatriot51,3
218,maltoy2000,2
219,WPubEBwilkes,5
220,mpilotone,1
221,eva48w4,1
222,AvonCTStyle,1
223,JenniferEvette6,1
224,amronsomar,1
225,earl1943,2
226,sddubrinsky,1
227,lizmichael,1
228,WillysBaldSpot,1
229,cbprincess5,1
230,Trump4PrezXX,1
231,strangegarden7,2
232,TerryJMcMurray,2
233,FpoeNewz,1
234,Anzers,3
235,fourones1,1
236,baberu,2
237,JWiseLaw,1
238,gldbug,1
239,murfloneranger,1
240,worthacomment,1
241,marcrespo22,1
242,sheila06942158,2
243,johnmark19,1
244,JamesCa14972101,1
245,jlcollins283655,1
246,chp3871,1
247,WyattRCB1,1
248,cinders1313,3
249,SmithNSons,1
250,kylie_oneil75,1
251,Ch2Christo,1
252,bmarsh31,1
253,keldoc405,1
254,JohnSlusarick,1
255,GlobalReina,1
256,alvinator2u,1
257,Karek22,2
258,Donnalee222,1
259,SnowBlasting,1
260,muligan4me,2
261,a3auntie,1
262,SirJaxx,1
263,TeaPartyTrumper,1
264,james_suire,1
265,NobamaDotCom,1
266,campingusa04,1
267,JoeXpressauto,2
268,CovfefeAlee,1
269,thefreeguru,1
270,John_Frank1954,1
271,icedragonx77,2
272,cgpb,1
273,SilasLongshot,1
274,bubba649,1
275,zeefa64,2
276,NamVet6669,1
277,LyleKlich,3
278,Sanctus_Christ,6
279,JAM_INSURANCE,1
280,buckfynn,1
281,ChuckJackson10,1
282,Rabid_AU,1
283,S1776frdm,1
284,rustythimble54,1
285,mmazzonejr,1
286,dmcnally1952,1
287,4_trump2020,1
288,raptureready299,1
289,beth2_k3a,1
290,frank95054,2
291,Zeke311,3
292,SL1733,1
293,JerryWoods8491,1
294,kaci1951,1
295,fatcatboots,1
296,KumheWillie,1
297,KenFro,1
298,Jerry6342,1
299,expatworldtagum,1
300,CharlesShytles,1
301,jamestrumpster1,1
302,Texastweetybird,2
303,MikeHud99832954,1
304,EriqElikplim,1
305,PaPawGeorge,1
306,Briinthesprings,1
307,angelnmt2012,1
308,RosieBud521,1
309,Creekredman,3
310,sirish789,1
311,Orkidnut,2
312,goodinohio,2
313,BanzaiM4,1
314,YesImDeplorable,1
315,kevingunter27,1
316,HomunculusLoikm,1
317,ShermanGraves,2
318,tallguy62,2
319,SillemanPam,1
320,forsaken_man,2
321,aceaerialphoto,1
322,myaki1718,1
323,nop3472,1
324,richierigg1,1
325,treniatoday,1
326,ElwinSnyder2,1
327,henrywilburn1,1
328,RogerSJosephJr,1
329,juanita_lux,1
330,jadwolfer,3
331,minsalbooks,1
332,James_K_Bryson,2
333,search4rr,1
334,shortman5427,1
335,Bonnie_,1
336,susanhunley,1
337,timbit777,3
338,nathanson57,1
339,PrettyPoisond1,1
340,tinkerswings,1
341,robnash13f,1
342,lemonygelato,1
343,wufandmew,1
344,YDrgwyla,1
345,Hen2pa,2
346,VillaLaCollina,1
347,THESuper_Nana,1
348,craigdh,1
349,DeniseM04406851,2
350,ldyglfr1953,1
351,SkuterP,1
352,Opportunity4u,2
353,tom_ingram,1
354,Carol38553,1
355,orion_kp,1
356,gutntag2u,2
357,GuyGuy60,1
358,marquisdejolie,1
359,TheHandyman61,1
360,newspolice1,1
361,TrumpGirly,1
362,americantreesup,1
363,daneillesteele,2
364,JimHillTx,2
365,ellejac7900,1
366,concider8,2
367,Vixstress,1
368,Cortaman,1
369,HHSASAGH,1
370,Natasha_Tyson,1
371,karenbothma1,1
372,CocoKissack,1
373,davyhobson,1
374,akonacards,1
375,grantwjacobs,1
376,successdasilva,1
377,TodaysSkripture,1
378,jolenejacobs13,1
379,LeadStoriesCom,3
380,karinaleech14,1
381,Tequilatattoo,1
382,chocwrld,1
383,NaijaOlofofo,1
384,welshfurnishing,1
385,fionnmccumhaill,1
386,conorlynch90,1
387,MKambindji,1
388,juniormajahh,1
389,darylsturgis,1
390,stephenmcramer,1
391,CarterHarms,1
392,nellokie,1
393,Auxi13Sheila,3
394,coopah,5
395,Peacepox,2
396,darmagirl24,1
397,PHILMSMITHJR,1
398,Daity1,4
399,frenchleap,1
400,david_landis,1
401,Russell_Hord,1
402,EJLandwehr,1
403,txstarkeeper,1
404,ellienowels,1
405,ColleenPerron,1
406,scruffie63,1
407,diaz_mldiaz9,1
408,joyceheiman,1
409,415holgate,1
410,RudyGSanchez5,2
411,Jerusal53393006,1
412,Sweetygirl3125,1
413,chrisdanne2,4
414,urjkary0987,7
415,lsleblanc1,1
416,crewislife,3
417,PattiCucchiara,3
418,DavidleeDr,1
419,soberbrat2,1
420,beehappytoo,1
421,purplemoon333,2
422,mariaeke,1
423,mistyferguson,1
424,Jclar672Jmc,1
425,JoannaVincenti,1
426,DavidLeftwich68,1
427,AmaraaU,1
428,Palmtrees40,1
429,alphabetsoupmmm,1
430,arielquirozart,1
431,celest_doc,1
432,ZentekClothing,1
433,joyceow33809563,1
434,AMISTAD604,3
435,Rainonventura,1
436,pbathon12,1
437,mizwizmizwiz,1
438,marilynholnes11,1
439,jameskibwe,1
440,GaryLewisJones,2
441,PhoenixVee888,2
442,DianeArnal,2
443,RichGrzegorek,1
444,KweliYaSaleem,1
445,DaphneDi,1
446,MILLIONTIMBER,1
447,hemantmehta,1
448,sactatheist,1
449,AthiestHuman,1
450,Athelover,1
451,JRLCHARTS,1
452,IBRustyJim,1
453,SusanAGeorge,1
454,christinefjnsn,1
455,pinkjockalypse,1
456,mscgluk,15
457,JasonAHanrahan,2
458,EvanLHarris2,1
459,alp44,1
460,spennington33,1
461,MaryJoMcManus,1
462,rma1814,1
463,robertcampo2,1
464,hlesbrown,1
465,daffodil0127,1
466,AlanPDuddle,2
467,charlierichmond,1
468,pastorjustjudy,1
469,olemissliberal,1
470,jontlaw,1
471,PoliticallyLib,1
472,craftycarlisle,1
