,source,target
0,politifact14008,851080390026592256
1,politifact14008,851084022952243200
2,politifact14008,851084514520641538
3,politifact14008,851084708137979904
4,politifact14008,851087337333313536
5,politifact14008,851087895330992128
6,politifact14008,851097534407856128
7,politifact14008,851109781553197056
8,politifact14008,851114597096488960
9,politifact14008,851116464698384384
10,politifact14008,851121773856915457
11,politifact14008,851131657671237632
12,politifact14008,851138785123467266
13,politifact14008,851149857372872705
14,politifact14008,851163331918532609
15,politifact14008,851163370086465536
16,politifact14008,851163513431232514
17,politifact14008,851168583002595328
18,politifact14008,851173351976554498
19,politifact14008,851176748251217920
20,politifact14008,851189010601062400
21,politifact14008,851191856662708225
22,politifact14008,851196119610646528
23,politifact14008,851201107368062976
24,politifact14008,851207981731545088
25,politifact14008,851214369279135748
26,politifact14008,851215166981246981
27,politifact14008,851217129785262081
28,politifact14008,851226305228046336
29,politifact14008,851232439225790465
30,politifact14008,851233853247115264
31,politifact14008,851234837298126848
32,politifact14008,851235011915370497
33,politifact14008,851237060182552576
34,politifact14008,851239426256719873
35,politifact14008,851249793032744960
36,politifact14008,851260749162860544
37,politifact14008,851261446662926337
38,politifact14008,851268113031086081
39,politifact14008,851269925465276416
40,politifact14008,851274052337414145
41,politifact14008,851278415244050433
42,politifact14008,851279771640012800
43,politifact14008,851284238594752528
44,politifact14008,851284686257008643
45,politifact14008,851291064396689408
46,politifact14008,851293361260687360
47,politifact14008,851294879368048640
48,politifact14008,851301923022090241
49,politifact14008,851319716077608960
50,politifact14008,851334454832488448
51,politifact14008,851365583098695684
52,politifact14008,851386312422772740
53,politifact14008,851386510515609600
54,politifact14008,851388640089518080
55,politifact14008,851412163902267393
56,politifact14008,851416113556541441
57,politifact14008,851416384764608515
58,politifact14008,851416428632694784
59,politifact14008,851416725908201472
60,politifact14008,851418104316010497
61,politifact14008,851423376451284992
62,politifact14008,851441563855147012
63,politifact14008,851448550928134145
64,politifact14008,851460088992759808
65,politifact14008,851462867429736448
66,politifact14008,851465817397092352
67,politifact14008,851468275183759360
68,politifact14008,851471863989420032
69,politifact14008,851474726463696896
70,politifact14008,851475048468811777
71,politifact14008,851475917482336256
72,politifact14008,851475936297889792
73,politifact14008,851475935513554944
74,politifact14008,851475934939013121
75,politifact14008,851475953414840320
76,politifact14008,851476166686916609
77,politifact14008,851476639376715777
78,politifact14008,851477514841141248
79,politifact14008,851478999629000707
80,politifact14008,851480153314267137
81,politifact14008,851480694480142336
82,politifact14008,851481192494907392
83,politifact14008,851482933311545344
84,politifact14008,851483707881922560
85,politifact14008,851485426674274304
86,politifact14008,851485494747820032
87,politifact14008,851485559004516352
88,politifact14008,851485792472096768
89,politifact14008,851485837728645120
90,politifact14008,851486013327278080
91,politifact14008,851486080725467136
92,politifact14008,851486080666710016
93,politifact14008,851486095787270145
94,politifact14008,851486229862522882
95,politifact14008,851486356127789056
96,politifact14008,851486465829687296
97,politifact14008,851486475845685248
98,politifact14008,851486493306535936
99,politifact14008,851486825843752960
100,politifact14008,851487107176697857
101,politifact14008,851487776365318145
102,politifact14008,851489387921756164
