,source,target
0,politifact14745,929405740732870656
1,politifact14745,929439450400264192
2,politifact14745,929439484806037506
3,politifact14745,929484662145208320
4,politifact14745,929498602539450368
5,politifact14745,929507420056961024
6,politifact14745,929507659073687552
7,politifact14745,929507837872623616
8,politifact14745,929508015035658240
9,politifact14745,929517614321238016
10,politifact14745,929521804665909248
11,politifact14745,929523849179299841
12,politifact14745,929528504198328320
13,politifact14745,929533921422925834
14,politifact14745,929536359999705088
15,politifact14745,929538113482846208
16,politifact14745,929546218836865024
17,politifact14745,929552302196887552
18,politifact14745,929553802444685312
19,politifact14745,929554103663058950
20,politifact14745,929555180273549312
21,politifact14745,929566605331390464
22,politifact14745,929570723429076992
23,politifact14745,929572801727619073
24,politifact14745,929573118972256256
25,politifact14745,929579970975821824
26,politifact14745,929586902407061504
27,politifact14745,929596621687418880
28,politifact14745,929598212717076480
29,politifact14745,929608411267915777
30,politifact14745,929621755659825152
31,politifact14745,929633542526722048
32,politifact14745,929642678375059457
33,politifact14745,929646571276374017
34,politifact14745,929654820528631808
35,politifact14745,929658503622529024
36,politifact14745,929663480344563712
37,politifact14745,929669052544569344
38,politifact14745,929674946229538821
39,politifact14745,929677634396721153
40,politifact14745,929692643394760712
41,politifact14745,929696201561264129
42,politifact14745,929699828304506881
43,politifact14745,929701430407122944
44,politifact14745,929706367639851008
45,politifact14745,929715008543567874
46,politifact14745,929718624994189312
47,politifact14745,929720063900430336
48,politifact14745,929720336760832001
49,politifact14745,929720978795528192
50,politifact14745,929721228553748480
51,politifact14745,929722871911501824
52,politifact14745,929725604110331905
53,politifact14745,929732700746874880
54,politifact14745,929740940075417601
55,politifact14745,929741082681753600
56,politifact14745,929741308809199616
57,politifact14745,929749109455671296
58,politifact14745,929754487996248065
59,politifact14745,929758263402467329
60,politifact14745,929760229767729152
61,politifact14745,929762542943129600
62,politifact14745,929763822709235717
63,politifact14745,929764338218471424
64,politifact14745,929764784022499328
65,politifact14745,929765703510577153
66,politifact14745,929768000768659462
67,politifact14745,929772377797472257
68,politifact14745,929772559016411136
69,politifact14745,929773846927781888
70,politifact14745,929777322760294401
71,politifact14745,929777438611165186
72,politifact14745,929778929438724096
73,politifact14745,929781509002809345
74,politifact14745,929786806018732032
75,politifact14745,929789389613363204
76,politifact14745,929791693259493376
77,politifact14745,929793613827006464
78,politifact14745,929794547290443776
79,politifact14745,929796036381630465
80,politifact14745,929796238547005440
81,politifact14745,929796307031642112
82,politifact14745,929799675237904384
83,politifact14745,929800780097445889
84,politifact14745,929800855972450305
85,politifact14745,929801632425979904
86,politifact14745,929802455373832194
87,politifact14745,929804250972086272
88,politifact14745,929811075679293440
89,politifact14745,929811411479547905
90,politifact14745,929811833908801536
91,politifact14745,929812030780981248
92,politifact14745,929812539063619584
93,politifact14745,929812844723372032
94,politifact14745,929816205745061888
95,politifact14745,929825453229182979
96,politifact14745,929825556320935942
97,politifact14745,929825840434696192
98,politifact14745,929838341075456001
99,politifact14745,929846646795464704
100,politifact14745,929853496773443585
101,politifact14745,929869548278476800
102,politifact14745,929873977513783297
103,politifact14745,929879068253868035
104,politifact14745,929886182141460480
105,politifact14745,929888231352619008
106,politifact14745,929889912933048320
107,politifact14745,929895483480223744
108,politifact14745,929897870563692547
109,politifact14745,929909026879569922
110,politifact14745,929915078706630656
111,politifact14745,929924791829745665
112,politifact14745,929932205165547520
113,politifact14745,929933603374497792
114,politifact14745,929939717960978432
115,politifact14745,929944525023277058
116,politifact14745,929967631397982209
117,politifact14745,930015697199022080
118,politifact14745,930025860857556993
119,politifact14745,930033928257310720
120,politifact14745,930060792824848384
121,politifact14745,930075458657554432
122,politifact14745,930087245457117185
123,politifact14745,930088520961708033
124,politifact14745,930131789062070272
125,politifact14745,930170937185570818
126,politifact14745,930175659560890368
127,politifact14745,930177680485388288
128,politifact14745,930178369433546752
129,politifact14745,930200501836120065
130,politifact14745,930214078362120192
131,politifact14745,930240024246870017
132,politifact14745,930287231826264066
133,politifact14745,930333556089303048
134,politifact14745,930345067671441414
135,politifact14745,930357308974133248
136,politifact14745,930389504770367488
137,politifact14745,930400162723389442
138,politifact14745,930463273664876545
139,politifact14745,930523505828990976
140,politifact14745,930586571639750656
141,politifact14745,930597786898391042
142,politifact14745,930697186500804609
143,politifact14745,930839926979080193
144,politifact14745,930841245211156480
145,politifact14745,930863988283359233
146,politifact14745,930904305464500225
147,politifact14745,930910553668648960
148,politifact14745,930913962312396800
149,politifact14745,930946860918951936
150,politifact14745,930975493465272320
151,politifact14745,930976327544590336
152,politifact14745,930977825988820992
153,politifact14745,930985367368552448
154,politifact14745,931002503021453312
155,politifact14745,931014982560636928
156,politifact14745,931034467967422464
157,politifact14745,931080048832020480
158,politifact14745,931142637393981441
159,politifact14745,931172650038181888
160,politifact14745,931182332928712704
161,politifact14745,931199160736501760
162,politifact14745,931202494713167872
163,politifact14745,931207544579731456
164,politifact14745,931226684094808064
165,politifact14745,931245925724549120
166,politifact14745,931255075686768640
167,politifact14745,931256569727033344
168,politifact14745,931272284899237888
169,politifact14745,931591061176119296
170,politifact14745,931624545567625216
171,politifact14745,931728670942674944
172,politifact14745,931796675051470849
173,politifact14745,931832539915923456
174,politifact14745,931912892781420550
175,politifact14745,931986758602018817
176,politifact14745,932103094321799168
177,politifact14745,932295227485884423
178,politifact14745,932424495037665283
179,politifact14745,932768534282756096
180,politifact14745,932819961252327424
181,politifact14745,933093127384055808
182,politifact14745,933372086420111360
183,politifact14745,933809596824633344
184,politifact14745,933841176339341312
185,politifact14745,933841196467785733
186,politifact14745,934204051427905538
187,politifact14745,934222942283513861
188,politifact14745,934248395732070401
189,politifact14745,934298790365941760
190,politifact14745,934332488192798720
191,politifact14745,934473685817282567
192,politifact14745,934576562732785665
193,politifact14745,934717638391025665
194,politifact14745,934764706736279552
195,politifact14745,934822452257001478
196,politifact14745,934989373661212672
197,politifact14745,935696508569178112
