,source,target
0,politifact14745,929405740732870656
1,politifact14745,929439450400264192
2,politifact14745,929439484806037506
3,politifact14745,929484662145208320
4,politifact14745,929498602539450368
5,politifact14745,929507420056961024
6,politifact14745,929507659073687552
7,politifact14745,929507837872623616
8,politifact14745,929508015035658240
9,politifact14745,929517614321238016
10,politifact14745,929521804665909248
11,politifact14745,929523849179299841
12,politifact14745,929528504198328320
13,politifact14745,929533921422925834
14,politifact14745,929536359999705088
15,politifact14745,929538113482846208
16,politifact14745,929546218836865024
17,politifact14745,929552302196887552
18,politifact14745,929553802444685312
19,politifact14745,929554103663058950
20,politifact14745,929555180273549312
21,politifact14745,929566605331390464
22,politifact14745,929570723429076992
23,politifact14745,929572801727619073
24,politifact14745,929573118972256256
25,politifact14745,929579970975821824
26,politifact14745,929586902407061504
27,politifact14745,929596621687418880
28,politifact14745,929598212717076480
29,politifact14745,929608411267915777
30,politifact14745,929621755659825152
31,politifact14745,929633542526722048
32,politifact14745,929642678375059457
33,politifact14745,929646571276374017
34,politifact14745,929654820528631808
35,politifact14745,929658503622529024
36,politifact14745,929663480344563712
37,politifact14745,929669052544569344
38,politifact14745,929674946229538821
39,politifact14745,929677634396721153
40,politifact14745,929692643394760712
41,politifact14745,929696201561264129
42,politifact14745,929699828304506881
43,politifact14745,929701430407122944
44,politifact14745,929706367639851008
45,politifact14745,929715008543567874
46,politifact14745,929718624994189312
47,politifact14745,929720063900430336
48,politifact14745,929720336760832001
49,politifact14745,929720978795528192
50,politifact14745,929721228553748480
51,politifact14745,929722871911501824
52,politifact14745,929725604110331905
53,politifact14745,929732700746874880
54,politifact14745,929740940075417601
55,politifact14745,929741082681753600
56,politifact14745,929741308809199616
57,politifact14745,929749109455671296
58,politifact14745,929754487996248065
59,politifact14745,929758263402467329
60,politifact14745,929760229767729152
61,politifact14745,929762542943129600
62,politifact14745,929763822709235717
63,politifact14745,929764338218471424
64,politifact14745,929764784022499328
65,politifact14745,929765703510577153
66,politifact14745,929768000768659462
67,politifact14745,929772377797472257
68,politifact14745,929772559016411136
69,politifact14745,929773846927781888
70,politifact14745,929777322760294401
71,politifact14745,929777438611165186
72,politifact14745,929778929438724096
73,politifact14745,929781509002809345
74,politifact14745,929786806018732032
75,politifact14745,929789389613363204
76,politifact14745,929791693259493376
77,politifact14745,929793613827006464
78,politifact14745,929794547290443776
79,politifact14745,929796036381630465
80,politifact14745,929796238547005440
81,politifact14745,929796307031642112
82,politifact14745,929799675237904384
83,politifact14745,929800780097445889
84,politifact14745,929800855972450305
85,politifact14745,929801632425979904
86,politifact14745,929802455373832194
87,politifact14745,929804250972086272
88,politifact14745,929811075679293440
89,politifact14745,929811411479547905
90,politifact14745,929811833908801536
91,politifact14745,929812030780981248
92,politifact14745,929812539063619584
93,politifact14745,929812844723372032
94,politifact14745,929816205745061888
95,politifact14745,929825453229182979
96,politifact14745,929825556320935942
97,politifact14745,929825840434696192
98,politifact14745,929838341075456001
99,politifact14745,929846646795464704
100,politifact14745,929853496773443585
101,politifact14745,929869548278476800
102,politifact14745,929873977513783297
103,politifact14745,929879068253868035
104,politifact14745,929886182141460480
105,politifact14745,929888231352619008
106,politifact14745,929889912933048320
107,politifact14745,929895483480223744
108,politifact14745,929897870563692547
109,politifact14745,929909026879569922
110,politifact14745,929915078706630656
111,politifact14745,929924791829745665
112,politifact14745,929932205165547520
113,politifact14745,929933603374497792
114,politifact14745,929939717960978432
115,politifact14745,929944525023277058
116,politifact14745,929967631397982209
117,politifact14745,930015697199022080
118,politifact14745,930025860857556993
119,politifact14745,930033928257310720
120,politifact14745,930060792824848384
121,politifact14745,930075458657554432
122,politifact14745,930087245457117185
123,politifact14745,930088520961708033
124,politifact14745,930131789062070272
125,politifact14745,930170937185570818
126,politifact14745,930175659560890368
127,politifact14745,930177680485388288
128,politifact14745,930178369433546752
129,politifact14745,930200501836120065
130,politifact14745,930214078362120192
131,politifact14745,930240024246870017
132,politifact14745,930287231826264066
133,politifact14745,930333556089303048
134,politifact14745,930345067671441414
135,politifact14745,930357308974133248
136,politifact14745,930389504770367488
137,politifact14745,930400162723389442
138,politifact14745,930463273664876545
139,politifact14745,930523505828990976
140,politifact14745,930586571639750656
141,politifact14745,930597786898391042
142,politifact14745,930697186500804609
143,politifact14745,930839926979080193
144,politifact14745,930841245211156480
145,politifact14745,930863988283359233
146,politifact14745,930904305464500225
147,politifact14745,930910553668648960
148,politifact14745,930913962312396800
149,politifact14745,930946860918951936
150,politifact14745,930975493465272320
151,politifact14745,930976327544590336
152,politifact14745,930977825988820992
153,politifact14745,930985367368552448
154,politifact14745,931002503021453312
155,politifact14745,931014982560636928
156,politifact14745,931034467967422464
157,politifact14745,931080048832020480
158,politifact14745,931142637393981441
159,politifact14745,931172650038181888
160,politifact14745,931182332928712704
161,politifact14745,931199160736501760
162,politifact14745,931202494713167872
163,politifact14745,931207544579731456
164,politifact14745,931226684094808064
165,politifact14745,931245925724549120
166,politifact14745,931255075686768640
167,politifact14745,931256569727033344
168,politifact14745,931272284899237888
169,politifact14745,931591061176119296
170,politifact14745,931624545567625216
171,politifact14745,931728670942674944
172,politifact14745,931796675051470849
173,politifact14745,931832539915923456
174,politifact14745,931912892781420550
175,politifact14745,931986758602018817
176,politifact14745,932103094321799168
177,politifact14745,932295227485884423
178,politifact14745,932424495037665283
179,politifact14745,932768534282756096
180,politifact14745,932819961252327424
181,politifact14745,933093127384055808
182,politifact14745,933372086420111360
183,politifact14745,933809596824633344
184,politifact14745,933841176339341312
185,politifact14745,933841196467785733
186,politifact14745,934204051427905538
187,politifact14745,934222942283513861
188,politifact14745,934248395732070401
189,politifact14745,934298790365941760
190,politifact14745,934332488192798720
191,politifact14745,934473685817282567
192,politifact14745,934576562732785665
193,politifact14745,934717638391025665
194,politifact14745,934764706736279552
195,politifact14745,934822452257001478
196,politifact14745,934989373661212672
197,politifact14745,935696508569178112
198,929507659073687552,930618818254086144
199,929507659073687552,930462378659057667
200,929507659073687552,930344236813312000
201,929507659073687552,930210377979367425
202,929507659073687552,930199544087957504
203,929507659073687552,930199121616621568
204,929507659073687552,930198556585201670
205,929507659073687552,930182747561316353
206,929507659073687552,930176851435245568
207,929507659073687552,930047531207282688
208,929507659073687552,929962593388777472
209,929507659073687552,929821322926018560
210,929507659073687552,929801039611432960
211,929507659073687552,929800312688467969
212,929507659073687552,929773045744578560
213,929507659073687552,929763898189926401
214,929507659073687552,929752902142480385
215,929507659073687552,929750338994831362
216,929507659073687552,929717538728153088
217,929521804665909248,929713027649363968
218,929521804665909248,929560588493213697
219,929521804665909248,929530395967635456
220,929521804665909248,929528965445963776
221,929521804665909248,929527476920946688
222,929521804665909248,929526670259904512
223,929521804665909248,929523440633241600
224,929523849179299841,929529140394561536
225,929523849179299841,929528978662031360
226,929528504198328320,929535679377367041
227,929528504198328320,929533571651526656
228,929528504198328320,929532562485186561
229,929528504198328320,929528842863235072
230,929555180273549312,929557179635560449
231,929586902407061504,931192010823921669
232,929586902407061504,929655879024152581
233,929586902407061504,929632434580226049
234,929586902407061504,929600144118599680
235,929586902407061504,929600116083879936
236,929586902407061504,929598473808130049
237,929596621687418880,930665164621434880
238,929596621687418880,930548681635397632
239,929596621687418880,929760767829860352
240,929596621687418880,929601738977562624
241,929596621687418880,929601456977727490
242,929596621687418880,929600937315962881
243,929596621687418880,929599980578529280
244,929596621687418880,929599835723960320
245,929596621687418880,929599311838449664
246,929596621687418880,929598014209052673
247,929596621687418880,929597144528510976
248,929596621687418880,929596704663498752
249,929646571276374017,929656879852158976
250,929646571276374017,929651551836270592
251,929674946229538821,929680657130848256
252,929674946229538821,929680051456626688
253,929674946229538821,929678349655527424
254,929674946229538821,929676839701934085
255,929674946229538821,929676514806894592
256,929692643394760712,930049900640739328
257,929692643394760712,930049735490179072
258,929692643394760712,929791468054642690
259,929692643394760712,929764966906949633
260,929692643394760712,929761791168663554
261,929692643394760712,929761096793288705
262,929692643394760712,929706151427657728
263,929692643394760712,929701735483949056
264,929692643394760712,929700878084444160
265,929692643394760712,929697755475439621
266,929692643394760712,929693640800264192
267,929692643394760712,929692967622905857
268,929720336760832001,929722389683773440
269,929720336760832001,929720484249432064
270,929741308809199616,929757932551630849
271,929741308809199616,929742953005723650
272,929741308809199616,929741810087485440
273,929741308809199616,929741714113351681
274,929754487996248065,929755491412140033
275,929765703510577153,929789092291858434
276,929777322760294401,929786132526706688
277,929777322760294401,929785394375352322
278,929777322760294401,929778534729601024
279,929777322760294401,929777449612689408
280,929786806018732032,929827431577403392
281,929786806018732032,929796475823050752
282,929786806018732032,929795388344856577
283,929786806018732032,929790668670685185
284,929786806018732032,929788831758503941
285,929786806018732032,929788084622970880
286,929786806018732032,929787286086148096
287,929786806018732032,929787257736892416
288,929791693259493376,929899748332638208
289,929791693259493376,929893745553788933
290,929791693259493376,929893163375800320
291,929791693259493376,929880901496004608
292,929791693259493376,929824762142093312
293,929791693259493376,929820534312808448
294,929791693259493376,929819094660145152
295,929791693259493376,929807854223155200
296,929791693259493376,929795771897139200
297,929791693259493376,929793883135008769
298,929791693259493376,929792210064871424
299,929791693259493376,929791868690247680
300,929793613827006464,929794562733821953
301,929794547290443776,931884293621764096
302,929794547290443776,931870212625801216
303,929794547290443776,931869944668610562
304,929794547290443776,931869737180631041
305,929794547290443776,929799564013461504
306,929800780097445889,929851734989602817
307,929800780097445889,929832194985443328
308,929800780097445889,929800833583136768
309,929804250972086272,929815278564859904
310,929811075679293440,929813377609691136
311,929811833908801536,930680825284349953
312,929811833908801536,929813536020111360
313,929811833908801536,929813429711491073
314,929853496773443585,929857678494466048
315,929853496773443585,929855200722010112
316,929869548278476800,929871193007644672
317,929889912933048320,929898822179926017
318,929889912933048320,929898175959363585
319,929889912933048320,929891809622462466
320,929889912933048320,929891519280173058
321,929889912933048320,929890791333466112
322,929889912933048320,929890365926031360
323,929897870563692547,929940235810754561
324,929897870563692547,929924821609103367
325,929897870563692547,929919980057059328
326,929897870563692547,929907755909046272
327,929897870563692547,929902828188991488
328,929897870563692547,929902138335158273
329,929897870563692547,929900396000055297
330,929909026879569922,932115335033053184
331,929909026879569922,931350631171985408
332,929909026879569922,931338804601929728
333,929909026879569922,931337912741965824
334,929909026879569922,931337089786044417
335,929909026879569922,931336909183479808
336,929909026879569922,931334719358169089
337,929909026879569922,931333642869137408
338,929909026879569922,931332508188323841
339,929909026879569922,931332369671323648
340,929909026879569922,931331721894735872
341,929909026879569922,930794609587949568
342,929909026879569922,930649487076483072
343,929909026879569922,930642214790631425
344,929909026879569922,930640951357378560
345,929909026879569922,930639974193561600
346,929909026879569922,930272863864672256
347,929909026879569922,930267052954324998
348,930060792824848384,931515029584777217
349,930075458657554432,932604821512876032
350,930075458657554432,932602515962679296
351,930075458657554432,930437770547486720
352,930075458657554432,930430629207875584
353,930075458657554432,930243895237271552
354,930075458657554432,930167589686398978
355,930075458657554432,930161633690898432
356,930075458657554432,930156431340441602
357,930075458657554432,930103040073486336
358,930075458657554432,930101221980909568
359,930075458657554432,930101102661505025
360,930075458657554432,930100481682235392
361,930075458657554432,930099772706340864
362,930075458657554432,930089414293970945
363,930075458657554432,930086591233748997
364,930075458657554432,930085901010550785
365,930075458657554432,930084085678198784
366,930075458657554432,930083416296566785
367,930075458657554432,930082390172725249
368,930087245457117185,931718086624866304
369,930087245457117185,930179907035918336
370,930087245457117185,930092193561186304
371,930087245457117185,930090148573872128
372,930087245457117185,930090055393337344
373,930087245457117185,930089921372618752
374,930087245457117185,930089291501506562
375,930087245457117185,930088952874262529
376,930088520961708033,930090165405650944
377,930088520961708033,930090118362423296
378,930177680485388288,930628253001375744
379,930177680485388288,930300153650728962
380,930177680485388288,930195152890507264
381,930177680485388288,930192191288377344
382,930177680485388288,930191864963256320
383,930177680485388288,930189925806493696
384,930177680485388288,930188919559163905
385,930177680485388288,930181090656038913
386,930177680485388288,930180348113293312
387,930177680485388288,930180215166394368
388,930177680485388288,930178078986383360
389,930178369433546752,930240283937210369
390,930178369433546752,930230232149196800
391,930178369433546752,930229864107577344
392,930178369433546752,930229794595377152
393,930200501836120065,930205984491999232
394,930240024246870017,930481083979792384
395,930357308974133248,930359910512123904
396,930523505828990976,930586827584503809
397,930523505828990976,930581015638274048
398,930523505828990976,930579833192701953
399,930523505828990976,930579129140948992
400,930523505828990976,930578563249688577
401,930523505828990976,930578208319295489
402,930523505828990976,930577584336797697
403,930523505828990976,930544925321465857
404,930523505828990976,930533311709052928
405,930523505828990976,930532268745154560
406,930523505828990976,930527141543936001
407,930523505828990976,930526977525628928
408,930523505828990976,930526431725146112
409,930523505828990976,930526117957701632
410,930523505828990976,930525849689796608
411,930523505828990976,930525538476703744
412,930523505828990976,930524853974601728
413,930523505828990976,930524358346510336
414,930523505828990976,930524343448342529
415,930863988283359233,930879922666721281
416,931142637393981441,931146341740351488
417,931182332928712704,931267960236371968
418,931182332928712704,931267867076464640
419,931182332928712704,931267732695236609
420,931182332928712704,931265230956564481
421,931182332928712704,931193309141323777
422,931182332928712704,931192446112935936
423,931182332928712704,931187095762358273
424,931182332928712704,931185261463007232
425,931182332928712704,931183477508239360
426,931182332928712704,931183357450264576
427,931182332928712704,931182895120732160
428,931182332928712704,931182504949805059
429,931272284899237888,931274101481644032
430,931272284899237888,931272855039496192
431,931796675051470849,931797373814153216
