,source,target
0,politifact15201,856845194771271681
1,politifact15201,856845568831885312
2,politifact15201,856847361938788352
3,politifact15201,856851044227313665
4,politifact15201,856851284074389507
5,politifact15201,856852458714411011
6,politifact15201,856856039446245377
7,politifact15201,856856158417637376
8,politifact15201,856857371775258624
9,politifact15201,856860052564713472
10,politifact15201,856861402245603329
11,politifact15201,856862907610562560
12,politifact15201,856872962380636160
13,politifact15201,856873076788736001
14,politifact15201,856873119343976449
15,politifact15201,856873184968269829
16,politifact15201,856874077214183424
17,politifact15201,856878645037682688
18,politifact15201,856878851858845696
19,politifact15201,856881783023046656
20,politifact15201,856881959460581376
21,politifact15201,856888759983366145
22,politifact15201,856890296243806208
23,politifact15201,856890729569947648
24,politifact15201,856893055286235137
25,politifact15201,856893427190874112
26,politifact15201,856897347300864000
27,politifact15201,856900293195423746
28,politifact15201,856902416498704385
29,politifact15201,856902459754659840
30,politifact15201,856902520387522560
31,politifact15201,856903156273467393
32,politifact15201,856906276239843328
33,politifact15201,856906533631819781
34,politifact15201,856907285364432897
35,politifact15201,856907289785139201
36,politifact15201,856908673091862528
37,politifact15201,856908694130491393
38,politifact15201,856912319934103552
39,politifact15201,856913427964596226
40,politifact15201,856914995711418368
41,politifact15201,856915004376760320
42,politifact15201,856915008705277957
43,politifact15201,856915013730148352
44,politifact15201,856915017777545216
45,politifact15201,856915015659511808
46,politifact15201,856915021359595521
47,politifact15201,856915021023948800
48,politifact15201,856915020285792256
49,politifact15201,856915035788005376
50,politifact15201,856915038820458496
51,politifact15201,856915043148906497
52,politifact15201,856915040988831745
53,politifact15201,856915061297655808
54,politifact15201,856915062656598016
55,politifact15201,856915068092534784
56,politifact15201,856915673158692865
57,politifact15201,856916795776581634
58,politifact15201,856916799526281216
59,politifact15201,856916836989808640
60,politifact15201,856916848968818688
61,politifact15201,856917312233914369
62,politifact15201,856917319338950656
63,politifact15201,856917330869100545
64,politifact15201,856917341405233156
65,politifact15201,856917349215031296
66,politifact15201,856917358455083013
67,politifact15201,856917357125550080
68,politifact15201,856917419930955776
69,politifact15201,856919935347568640
70,politifact15201,856921363470315520
71,politifact15201,856921411998236672
72,politifact15201,856922917996834817
73,politifact15201,856923250386849792
74,politifact15201,856923590054342656
75,politifact15201,856927658558533636
76,politifact15201,856930418020548609
77,politifact15201,856930924365135873
78,politifact15201,856933644971028480
79,politifact15201,856934156147847168
80,politifact15201,856934611238211584
81,politifact15201,856934709309325312
82,politifact15201,856939813097807873
83,politifact15201,856940566403264514
84,politifact15201,856941260019564544
85,politifact15201,856941588148125696
86,politifact15201,856943422342664192
87,politifact15201,856943903714443269
88,politifact15201,856944956333637632
89,politifact15201,856946798119833600
90,politifact15201,856950514050711552
91,politifact15201,856951983357349888
92,politifact15201,856952079918796801
93,politifact15201,856952913192603648
94,politifact15201,856953004544712707
95,politifact15201,856953113009209344
96,politifact15201,856953378160562176
97,politifact15201,856953398033133568
98,politifact15201,856955544963239936
99,politifact15201,856956279880904705
100,politifact15201,856957028543078400
101,politifact15201,856957919446925313
102,politifact15201,856958278185758720
103,politifact15201,856959324307980288
104,politifact15201,856971978900733954
105,politifact15201,856973117234786304
106,politifact15201,856975331063889921
107,politifact15201,856976693306695681
108,politifact15201,856978811577147393
109,politifact15201,856979551712366593
110,politifact15201,856982706160148480
111,politifact15201,856983698469552129
112,politifact15201,856983934042861568
113,politifact15201,856984398000009216
114,politifact15201,856985046141599746
115,politifact15201,856985883060441088
116,politifact15201,856986653876944896
117,politifact15201,856987241092198401
118,politifact15201,856989175408668677
119,politifact15201,856990033093550080
120,politifact15201,856991445982621696
121,politifact15201,856997351214526468
122,politifact15201,857000178166923264
123,politifact15201,857000497433034752
124,politifact15201,857003193234067457
125,politifact15201,857003926033444868
126,politifact15201,857004622426374144
127,politifact15201,857005447584374784
128,politifact15201,857005472053944325
129,politifact15201,857006006810947584
130,politifact15201,857007430819094528
131,politifact15201,857011215322804224
132,politifact15201,857013362470866945
133,politifact15201,857013550975463424
134,politifact15201,857013552195837953
135,politifact15201,857015024149254146
136,politifact15201,857015872816242688
137,politifact15201,857016620912226306
138,politifact15201,857017960023465985
139,politifact15201,857020681086795776
140,politifact15201,857021523328204800
141,politifact15201,857021980570251265
142,politifact15201,857023027929919488
143,politifact15201,857023250731343872
144,politifact15201,857023945438093312
145,politifact15201,857024735858769920
146,politifact15201,857025648254214144
147,politifact15201,857026298585137152
148,politifact15201,857026672624717826
149,politifact15201,857026766531166208
150,politifact15201,857027209457881088
151,politifact15201,857027526652198914
152,politifact15201,857033245434626048
153,politifact15201,857037055133704192
154,politifact15201,857037170586120192
155,politifact15201,857038819119550464
156,politifact15201,857038858084659200
157,politifact15201,857039668570988544
158,politifact15201,857041800548274177
159,politifact15201,857044724380815360
160,politifact15201,857046473166532609
