,source,target
0,politifact15591,1014658450897465344
1,politifact15591,1014755331199651840
2,politifact15591,1014859443031375873
3,politifact15591,1014868656700960768
4,politifact15591,1014868720173412355
5,politifact15591,1014883307174146048
6,politifact15591,1014920944819802112
7,politifact15591,1014945529493458944
8,politifact15591,1014947443685945346
9,politifact15591,1014947610845679618
10,politifact15591,1014950549945368576
11,politifact15591,1014972248099205121
12,politifact15591,1014988290276159495
13,politifact15591,1014998889664000000
14,politifact15591,1015015596554096648
15,politifact15591,1015019357179531264
16,politifact15591,1015020489398456320
17,politifact15591,1015022615101104128
18,politifact15591,1015023725325021184
19,politifact15591,1015025073974063104
20,politifact15591,1015025711982133248
21,politifact15591,1015027072425656320
22,politifact15591,1015031289412571141
23,politifact15591,1015042866136211460
24,politifact15591,1015049524128174082
25,politifact15591,1015071987939475456
26,politifact15591,1015074830524272640
27,politifact15591,1015088085909016576
28,politifact15591,1015102514956525568
29,politifact15591,1015102763028701184
30,politifact15591,1015107676274032641
31,politifact15591,1015125668315705344
32,politifact15591,1015125908951392257
33,politifact15591,1015142054811365376
34,politifact15591,1015144339272585217
35,politifact15591,1015144995710558208
36,politifact15591,1015156714230964224
37,politifact15591,1015157277576310785
38,politifact15591,1015161329517301760
39,politifact15591,1015168997694685185
40,politifact15591,1015170167398072320
41,politifact15591,1015171067214786560
42,politifact15591,1015192358319808512
43,politifact15591,1015212012161327106
44,politifact15591,1015221691977535490
45,politifact15591,1015231479553675264
46,politifact15591,1015239088750788610
47,politifact15591,1015243713730306049
48,politifact15591,1015245392424861696
49,politifact15591,1015254806708047872
50,politifact15591,1015255825215082496
51,politifact15591,1015264305967763461
52,politifact15591,1015267309982834693
53,politifact15591,1015267650346344448
54,politifact15591,1015267797147013121
55,politifact15591,1015268923128860672
56,politifact15591,1015272183050850304
57,politifact15591,1015274372154699779
58,politifact15591,1015275614750871552
59,politifact15591,1015280088688951298
60,politifact15591,1015283228104708102
61,politifact15591,1015285733899325440
62,politifact15591,1015286097914531841
63,politifact15591,1015288506221056004
64,politifact15591,1015299989382107136
65,politifact15591,1015302077436846081
66,politifact15591,1015306486354993152
67,politifact15591,1015312627961094145
68,politifact15591,1015312780981952513
69,politifact15591,1015313883324665857
70,politifact15591,1015314005399932932
71,politifact15591,1015321579520024577
72,politifact15591,1015327196305649666
73,politifact15591,1015329418233835520
74,politifact15591,1015343137290706948
75,politifact15591,1015343570876862465
76,politifact15591,1015344309233704960
77,politifact15591,1015366613233733632
78,politifact15591,1015393074607022081
79,politifact15591,1015393147231219713
80,politifact15591,1015428707626962945
81,politifact15591,1015448232074326016
82,politifact15591,1015456743294414848
83,politifact15591,1015621952118185984
84,politifact15591,1015650366078189568
85,politifact15591,1016006843515035648
86,politifact15591,1016115783221547009
87,politifact15591,1016116582349791232
88,politifact15591,1016118103808335872
89,politifact15591,1016142077632110592
90,politifact15591,1016188764329160705
91,politifact15591,1016200536536829953
92,politifact15591,1016283161918091266
93,politifact15591,1016434511108820992
94,politifact15591,1016551532479721472
95,politifact15591,1016603399545081857
96,politifact15591,1016794500600094722
97,politifact15591,1016891885552652288
98,politifact15591,1017034101113675777
99,politifact15591,1017203382099107841
100,politifact15591,1017225884108050437
101,politifact15591,1017476184894943232
102,politifact15591,1017518712990117888
103,politifact15591,1017801816011104256
104,politifact15591,1017938289406472193
105,politifact15591,1053688747387170818
106,politifact15591,1054167384163082240
107,politifact15591,1054226681534316545
108,politifact15591,1054542473580539904
109,politifact15591,1055511009283190785
