,source,target
0,politifact14564,912043388991664129
1,politifact14564,912055776222486528
2,politifact14564,912059470406209536
3,politifact14564,912061701427793920
4,politifact14564,912066322602840064
5,politifact14564,912078853505351680
6,politifact14564,912079545985052672
7,politifact14564,912091783018029062
8,politifact14564,912093193008766981
9,politifact14564,912097362713223169
10,politifact14564,912108946122473472
11,politifact14564,912109309747761152
12,politifact14564,912110316976328704
13,politifact14564,912112718160601088
14,politifact14564,912113387320037376
15,politifact14564,912113409763823616
16,politifact14564,912114045997555713
17,politifact14564,912116830025662464
18,politifact14564,912117598434791424
19,politifact14564,912117654382628864
20,politifact14564,912119477537517569
21,politifact14564,912119532516528129
22,politifact14564,912121724925284352
23,politifact14564,912125298199744516
24,politifact14564,912126760434663425
25,politifact14564,912126941012033537
26,politifact14564,912127231148904448
27,politifact14564,912127318365220864
28,politifact14564,912127708640960514
29,politifact14564,912128131846336512
30,politifact14564,912129113669894146
31,politifact14564,912129675354365952
32,politifact14564,912131286315257856
33,politifact14564,912132661510070272
34,politifact14564,912132678497030144
35,politifact14564,912136357664796672
36,politifact14564,912136784250834944
37,politifact14564,912137082939854849
38,politifact14564,912139619856248832
39,politifact14564,912140050334404608
40,politifact14564,912140136506413057
41,politifact14564,912140924129562625
42,politifact14564,912141083429228545
43,politifact14564,912141335318188034
44,politifact14564,912142629646864385
45,politifact14564,912143279906545664
46,politifact14564,912144242243379201
47,politifact14564,912144938774749184
48,politifact14564,912145311845494787
49,politifact14564,912146692862078981
50,politifact14564,912146891810340865
51,politifact14564,912147077043556352
52,politifact14564,912147519693578240
53,politifact14564,912148361540771840
54,politifact14564,912148942350983168
55,politifact14564,912149932966121472
56,politifact14564,912150537495351296
57,politifact14564,912151404696961024
58,politifact14564,912152497229324293
59,politifact14564,912152916177297408
60,politifact14564,912156507088801792
61,politifact14564,912157307970228224
62,politifact14564,912158994130542592
63,politifact14564,912159672408276992
64,politifact14564,912159679463047168
65,politifact14564,912159684290781185
66,politifact14564,912162308880785408
67,politifact14564,912162979982053376
68,politifact14564,912163304554090496
69,politifact14564,912163948438401026
70,politifact14564,912164446172274688
71,politifact14564,912164584148127744
72,politifact14564,912164855016251392
73,politifact14564,912164894287519755
74,politifact14564,912165039645315073
75,politifact14564,912165578323910662
76,politifact14564,912165577501810689
77,politifact14564,912167186160132096
78,politifact14564,912167589081698304
79,politifact14564,912167753238360064
80,politifact14564,912168689121640448
81,politifact14564,912168805434101761
82,politifact14564,912168883611688960
83,politifact14564,912168888980434944
84,politifact14564,912170846504062976
85,politifact14564,912171894689984513
86,politifact14564,912172368650473472
87,politifact14564,912174314870452224
88,politifact14564,912174803406204928
89,politifact14564,912176411217158147
90,politifact14564,912179682103066624
