,source,target
0,politifact537,835440875
1,politifact537,835463110
2,politifact537,835463450
3,politifact537,835653072
4,politifact537,835821711
5,politifact537,983359695
6,politifact537,1616478056
7,politifact537,1620381549
8,politifact537,1674200060
9,politifact537,1762284047
10,politifact537,1944170190
11,politifact537,2265902198
12,politifact537,2914574680
13,politifact537,2916475532
14,politifact537,2917509473
15,politifact537,2919121803
16,politifact537,2919282030
17,politifact537,2919334016
18,politifact537,2919835735
19,politifact537,2920026953
20,politifact537,2920054430
21,politifact537,2920464128
22,politifact537,2920946466
23,politifact537,2921537789
24,politifact537,3300114033
25,politifact537,3598718638
26,politifact537,3881741665
27,politifact537,3920008754
28,politifact537,4536422239
29,politifact537,4563849177
30,politifact537,4747980209
31,politifact537,5769763087
32,politifact537,5906885847
33,politifact537,5909761800
34,politifact537,7176259862
35,politifact537,9492897659
36,politifact537,9803031557
37,politifact537,10241671261
38,politifact537,10241710437
39,politifact537,13098444250
40,politifact537,13446987844
41,politifact537,13552340080
42,politifact537,13922811778
43,politifact537,14005685578
44,politifact537,14009418357
45,politifact537,14033508810
46,politifact537,14035612628
47,politifact537,17675734350
48,politifact537,18278526692
49,politifact537,18444256626
50,politifact537,24316832772
51,politifact537,24942703725
52,politifact537,25219985021
53,politifact537,25983029262
54,politifact537,26337728214
55,politifact537,26892858838
56,politifact537,27305370041
57,politifact537,27451195708
58,politifact537,27823344168
59,politifact537,27949167491
60,politifact537,28418236442
61,politifact537,28418580716
62,politifact537,28419415488
63,politifact537,28419575751
64,politifact537,28420529210
65,politifact537,28421234637
66,politifact537,28421922132
67,politifact537,28422057813
68,politifact537,28422273861
69,politifact537,28422539397
70,politifact537,28422606133
71,politifact537,28423047354
72,politifact537,28423116010
73,politifact537,28423195740
74,politifact537,28423675825
75,politifact537,28423764804
76,politifact537,28424057413
77,politifact537,28424593443
78,politifact537,28425682140
79,politifact537,28425950459
80,politifact537,28425974628
81,politifact537,28426221899
82,politifact537,28426252462
83,politifact537,28426843030
84,politifact537,28428294780
85,politifact537,28433121787
86,politifact537,28433790581
87,politifact537,28435068987
88,politifact537,28435655638
89,politifact537,28436215654
90,politifact537,28441407573
91,politifact537,28442966967
92,politifact537,28446848692
93,politifact537,28451730358
94,politifact537,28455000413
95,politifact537,28455000310
96,politifact537,28455570889
97,politifact537,28466401895
98,politifact537,28484511650
99,politifact537,28484587978
100,politifact537,29291683326
101,politifact537,3865892840538112
102,politifact537,6881070343528448
103,politifact537,6883444432830464
104,politifact537,7886540596318208
105,politifact537,8934209997508608
106,politifact537,11474385114243072
107,politifact537,11756613266309120
108,politifact537,16555573529022464
109,politifact537,16568862908620800
110,politifact537,19083972331970560
111,politifact537,20572870551801856
112,politifact537,20643007581659139
113,politifact537,26740759893901313
114,politifact537,26777233028816896
115,politifact537,34308503413719041
116,politifact537,36084603059961857
117,politifact537,36437126367154176
118,politifact537,36446382533386242
119,politifact537,36842258862972928
120,politifact537,39369569424519168
121,politifact537,41177160932794368
122,politifact537,41865587072172032
123,politifact537,41869063504408576
124,politifact537,41904445273014272
125,politifact537,41904865915445249
126,politifact537,45962826887602176
127,politifact537,48902631325827073
128,politifact537,49953037447475201
129,politifact537,50369941270044672
130,politifact537,50379265954418688
131,politifact537,50414308412227585
132,politifact537,52009347722649601
133,politifact537,52136733248208896
134,politifact537,53998535452000256
135,politifact537,54582397806718977
136,politifact537,58321515258712064
137,politifact537,58675812743921664
138,politifact537,60689549382262786
139,politifact537,61872776646098944
140,politifact537,62485084963483649
141,politifact537,62511214005190657
142,politifact537,62566853125472256
143,politifact537,62572844722290688
144,politifact537,63416782786002946
145,politifact537,63560134248501248
146,politifact537,63562834734358528
147,politifact537,63563194970550272
148,politifact537,63596648634392577
