,source,target
0,politifact13260,1672463074
1,politifact13260,1810127907
2,politifact13260,7887282655
3,politifact13260,14445968379
4,politifact13260,282136030851768323
5,politifact13260,321991117925146629
6,politifact13260,648531892455755776
7,politifact13260,698636316318298113
8,politifact13260,698653401199017984
9,politifact13260,698668969083797504
10,politifact13260,698671321727696896
11,politifact13260,698682775281471489
12,politifact13260,698693221724135424
13,politifact13260,698739937772961792
14,politifact13260,698754797265121280
15,politifact13260,698928526985027584
16,politifact13260,698951101593288705
17,politifact13260,698960680947466241
18,politifact13260,699344983799808001
19,politifact13260,699715774299185153
20,politifact13260,699715897959669761
21,politifact13260,699719055767375873
22,politifact13260,699734771904180225
23,politifact13260,702628778942410752
24,politifact13260,705819061989474305
25,politifact13260,707249697421860864
26,politifact13260,707357753317011457
27,politifact13260,707358343082352640
28,politifact13260,707358909657264128
29,politifact13260,707358953982693376
30,politifact13260,707359058848718848
31,politifact13260,707359189304156160
32,politifact13260,707359271382441984
33,politifact13260,710110283650502656
34,politifact13260,710826834938585088
35,politifact13260,710885475343425536
36,politifact13260,710939444757581825
37,politifact13260,711503651747995648
38,politifact13260,711644484157571072
39,politifact13260,711932276221808641
40,politifact13260,714122390859554816
41,politifact13260,715619822390943744
42,politifact13260,811961986401464320
43,politifact13260,824740264862322688
44,politifact13260,825533606516883456
45,politifact13260,826065242580983808
46,politifact13260,826493898050641924
47,politifact13260,826580408598937600
48,politifact13260,826598360832438272
49,politifact13260,827949196409987073
50,politifact13260,840934429858156546
51,politifact13260,849998469771276288
52,politifact13260,850019470965866498
53,politifact13260,850033392334897154
54,politifact13260,850047492628430848
55,politifact13260,850377498068123649
56,politifact13260,854007232756830208
57,politifact13260,862794674247000064
58,politifact13260,937833826306482176
59,politifact13260,949103827000745991
60,politifact13260,966861616183697408
61,politifact13260,969223175321063424
62,politifact13260,969574128838676481
63,politifact13260,1001641989232771073
64,politifact13260,1005015077085331456
65,politifact13260,1008565045448585217
66,politifact13260,1012063518554771458
67,politifact13260,1012459416283738115
68,politifact13260,1012899041007595520
69,politifact13260,1013435253698908162
70,politifact13260,1013764927708893185
71,politifact13260,1013868316387991559
72,politifact13260,1014555486170083330
73,politifact13260,1015985875962953728
74,politifact13260,1016481019401310208
75,politifact13260,1016508136805490688
76,politifact13260,1016524757624377344
77,politifact13260,1016570072930963456
78,politifact13260,1016691191512027137
79,politifact13260,1016712652863700993
80,politifact13260,1016754432694865920
81,politifact13260,1016831608060510209
82,politifact13260,1016995451588038656
83,politifact13260,1017118086191861760
84,politifact13260,1017118309630795776
85,politifact13260,1018889674532769792
86,politifact13260,1019666613061251077
87,politifact13260,1020026928961445888
88,politifact13260,1024847758317023232
89,politifact13260,1024985740596465664
90,politifact13260,1031881265031639041
91,politifact13260,1032633027652771840
92,politifact13260,1036281863386542087
93,politifact13260,1036998245850001408
94,politifact13260,1037003878347227137
95,politifact13260,1037009041988308992
96,politifact13260,1037010227399249921
97,politifact13260,1037024710289174528
98,politifact13260,1037193541095763968
99,politifact13260,1037308284804505601
100,politifact13260,1037833403557531648
101,politifact13260,1038105624540864512
102,politifact13260,1038105809933291520
103,politifact13260,1038983385966768128
104,politifact13260,1040751135244476416
105,politifact13260,1041426181327933440
106,politifact13260,1041449245340041216
107,politifact13260,1041584927026896896
108,politifact13260,1041846825232355328
109,politifact13260,1041894562107547649
110,politifact13260,1041905270799007751
111,politifact13260,1042377431880003584
112,politifact13260,1042470606976020480
113,politifact13260,1042550225083265024
114,politifact13260,1042559310927060992
115,politifact13260,1043863357986623490
116,politifact13260,1044260052494929920
117,politifact13260,1044262185843613697
118,politifact13260,1044347565284691975
119,politifact13260,1044547727546351619
120,politifact13260,1044619961849827329
121,politifact13260,1044748997099958272
122,politifact13260,1044753707278241794
123,politifact13260,1044758667038470144
124,politifact13260,1044983078169579525
125,politifact13260,1045009320864296960
126,politifact13260,1045026149036937217
127,politifact13260,1045359946047606784
128,politifact13260,1045375514653937664
129,politifact13260,1045409473756647424
130,politifact13260,1045452946908024833
131,politifact13260,1045461988338413568
132,politifact13260,1045464086945751041
133,politifact13260,1045501015024431105
134,politifact13260,1045649557567229952
135,politifact13260,1045749741538222082
136,politifact13260,1045756402302685184
137,politifact13260,1045765005709389826
138,politifact13260,1045824228568834056
139,politifact13260,1046162614055833605
140,politifact13260,1046194176226971650
141,politifact13260,1046373353408233472
142,politifact13260,1046434751215808513
143,politifact13260,1046494812311113729
144,politifact13260,1046595090444177409
145,politifact13260,1046709255770951682
146,politifact13260,1046773182009470977
147,politifact13260,1046786230460043265
148,politifact13260,1046828589625282561
149,politifact13260,1046937977849409536
150,politifact13260,1047573417258508288
151,politifact13260,1047642551677677568
152,politifact13260,1047919625911115777
153,politifact13260,1047928854222970882
154,politifact13260,1047989501635833858
155,politifact13260,1048048394856542208
156,politifact13260,1048158473974964224
157,politifact13260,1048199556004020225
158,politifact13260,1048256711486840833
159,politifact13260,1048261556218335233
160,politifact13260,1048308411610292224
161,politifact13260,1048367760638533632
162,politifact13260,1048413935676743680
163,politifact13260,1048417343246757888
164,politifact13260,1048417348330250240
165,politifact13260,1048418142404468737
166,politifact13260,1048419560397799424
167,politifact13260,1048422108139646976
168,politifact13260,1048430626960039936
169,politifact13260,1048433622259183618
170,politifact13260,1048434434028920833
171,politifact13260,1048438012785434625
172,politifact13260,1048446458066657280
173,politifact13260,1048451055019671553
174,politifact13260,1048454582664220672
175,politifact13260,1048468162352623616
176,politifact13260,1048468741661642752
177,politifact13260,1048470269755576320
178,politifact13260,1048515933524975616
179,politifact13260,1048540388959682560
180,politifact13260,1048544717070393344
181,politifact13260,1048552983829598211
182,politifact13260,1048553662455398400
183,politifact13260,1048564887495106560
184,politifact13260,1048570971085557761
185,politifact13260,1048598989296164864
186,politifact13260,1048599367635161088
187,politifact13260,1048629504955092994
188,politifact13260,1048631721309233152
189,politifact13260,1048664727847677952
190,politifact13260,1048686983785205761
191,politifact13260,1048687129625280513
192,politifact13260,1048689628671164416
193,politifact13260,1048719449417629697
194,politifact13260,1048729164268949510
195,politifact13260,1048764557538283520
196,politifact13260,1048914247982501888
197,politifact13260,1048919445375266816
198,politifact13260,1049003810180325377
199,politifact13260,1049310713741803527
200,politifact13260,1049458958807834624
201,politifact13260,1049648243922149377
202,politifact13260,1049945671296409600
203,politifact13260,1050106063909982210
204,politifact13260,1050821224102801411
205,politifact13260,1052221632503304192
206,politifact13260,1055791469267705857
207,politifact13260,1064980988563021824
208,politifact13260,1065689650965110785
209,politifact13260,1070365702991822848
210,698636316318298113,698743559344656384
211,698636316318298113,698700025988259840
212,698636316318298113,698667889881178112
213,698636316318298113,698655500024459264
214,698636316318298113,698654340668461056
215,698636316318298113,698654027651780613
216,698636316318298113,698653178523467778
217,698636316318298113,698652749601312770
218,698636316318298113,698652648619143168
219,698636316318298113,698652086100172800
220,698636316318298113,698652013391978496
221,698636316318298113,698651919787692032
222,698739937772961792,698749564648615937
223,699715897959669761,700074568262795264
224,699715897959669761,699978609163964417
225,699715897959669761,699864453169307648
226,699715897959669761,699830990148149249
227,699715897959669761,699778179678937088
228,699715897959669761,699740470226894848
229,699715897959669761,699733583867547649
230,699715897959669761,699723147713490944
231,699715897959669761,699722752693932032
232,699715897959669761,699721226709635072
233,699715897959669761,699719484211339264
234,699715897959669761,699719037744316416
235,699715897959669761,699717680744402944
236,699715897959669761,699717419418390528
237,699715897959669761,699716831632822281
238,699715897959669761,699716678456725504
239,710885475343425536,710938264811806720
240,826065242580983808,826067029463617544
241,826580408598937600,827291385120296961
242,826580408598937600,826591040647802880
243,840934429858156546,840942369923055616
244,937833826306482176,937883178014044161
245,937833826306482176,937870444761251840
246,937833826306482176,937856558599258112
247,937833826306482176,937855226245144577
248,937833826306482176,937846044896956416
249,937833826306482176,937843813090934784
250,937833826306482176,937840637717520384
251,937833826306482176,937837759959584768
252,937833826306482176,937834677787942913
253,937833826306482176,937834413097922561
254,937833826306482176,937834136156491776
255,966861616183697408,966862537911287808
256,969574128838676481,969590603259490305
257,1013435253698908162,1014546415052181504
258,1013435253698908162,1014276862565146625
259,1013435253698908162,1013954929520791554
260,1013435253698908162,1013954596937576449
261,1013435253698908162,1013953797239050240
262,1013435253698908162,1013953230487687169
263,1013435253698908162,1013915616237850625
264,1013435253698908162,1013891805350449153
265,1013435253698908162,1013808799143129089
266,1013435253698908162,1013774584196272128
267,1013435253698908162,1013757516092706816
268,1013435253698908162,1013674953995161602
269,1013435253698908162,1013648747375411200
270,1013435253698908162,1013647903724900353
271,1013435253698908162,1013644923390824449
272,1013435253698908162,1013642076188102656
273,1013435253698908162,1013636299675271169
274,1013435253698908162,1013620686319968261
275,1013435253698908162,1013614759806005248
276,1016508136805490688,1016798282004115456
277,1016508136805490688,1016769711588208643
278,1016508136805490688,1016745844593197061
279,1016508136805490688,1016731404846161920
280,1016508136805490688,1016727710658277376
281,1016508136805490688,1016682776337281024
282,1016508136805490688,1016682437143822336
283,1016508136805490688,1016663698608402432
284,1016508136805490688,1016663378520104961
285,1016508136805490688,1016627437549973504
286,1016508136805490688,1016626359622221824
287,1016508136805490688,1016617685482864642
288,1016508136805490688,1016609534322921473
289,1016508136805490688,1016588396163190786
290,1016508136805490688,1016586796766040064
291,1016508136805490688,1016586379097145344
292,1016508136805490688,1016563560086814721
293,1016712652863700993,1017016755699572737
294,1016712652863700993,1016908221510905856
295,1016712652863700993,1016715202694451202
296,1024985740596465664,1026140467241644032
297,1031881265031639041,1032247614924902404
298,1031881265031639041,1031886117828784128
299,1031881265031639041,1031885660586745856
300,1032633027652771840,1032651463535812608
301,1032633027652771840,1032633553627082752
302,1036998245850001408,1037003656732848128
303,1036998245850001408,1037002122695454720
304,1041584927026896896,1041765630456881157
305,1042550225083265024,1042556642859122690
306,1042550225083265024,1042556478643732480
307,1042550225083265024,1042556158886567938
308,1043863357986623490,1044026684536696832
309,1045009320864296960,1045809264919367680
310,1045359946047606784,1045360108975390720
311,1045409473756647424,1045420446773121024
312,1045409473756647424,1045412141770182657
313,1045409473756647424,1045409633962270720
314,1045649557567229952,1046010879723130881
315,1045649557567229952,1045842823566807041
316,1045649557567229952,1045816032307412992
317,1045649557567229952,1045781818622918656
318,1045649557567229952,1045719912038191107
319,1045649557567229952,1045698732354949123
320,1045649557567229952,1045696715423199233
321,1045649557567229952,1045693997224611841
322,1045649557567229952,1045689093198417920
323,1045649557567229952,1045684160998912000
324,1045649557567229952,1045681668974145536
325,1045649557567229952,1045679360014000129
326,1045649557567229952,1045674844468256769
327,1045649557567229952,1045668761003589639
328,1045649557567229952,1045664698203623424
329,1045649557567229952,1045664293826572288
330,1045756402302685184,1045814180513804288
331,1045756402302685184,1045770291652235264
332,1045756402302685184,1045766172057186304
333,1045756402302685184,1045765628966182912
334,1045824228568834056,1045830994169925632
335,1045824228568834056,1045825654183415808
336,1045824228568834056,1045825484414693377
337,1045824228568834056,1045825468153368577
338,1046162614055833605,1046361216912961536
339,1046162614055833605,1046361033126891520
340,1046162614055833605,1046219394395906048
341,1046162614055833605,1046217412155199489
342,1046162614055833605,1046202750420365318
343,1046162614055833605,1046191407264755712
344,1046828589625282561,1046834169681080320
345,1046937977849409536,1047217330948849665
346,1046937977849409536,1047213982522793984
347,1046937977849409536,1047083544260927488
348,1047573417258508288,1047586909122416641
349,1047573417258508288,1047575403852914688
350,1047573417258508288,1047574235504369664
351,1047573417258508288,1047573946529452038
352,1047642551677677568,1047949705471094784
353,1047642551677677568,1047668703528214528
354,1047642551677677568,1047645168315248640
355,1048158473974964224,1048519741113917440
356,1048158473974964224,1048225833515667458
357,1048158473974964224,1048200655964397568
358,1048158473974964224,1048200347603390464
359,1048158473974964224,1048198330067705857
360,1048158473974964224,1048190813883305985
361,1048158473974964224,1048164454733664258
362,1048158473974964224,1048163404744183808
363,1048158473974964224,1048161293054697472
364,1048158473974964224,1048160436372299776
365,1048256711486840833,1048280845402947584
366,1048256711486840833,1048256872703094784
367,1048261556218335233,1048304091674435584
368,1048417348330250240,1048423175573262336
369,1048417348330250240,1048420889937813504
370,1048417348330250240,1048418784166518784
371,1048468162352623616,1048830976921501696
372,1048599367635161088,1048602392986619904
373,1048599367635161088,1048601773101989890
374,1048599367635161088,1048601643892260864
375,1048599367635161088,1048600108827197440
376,1048664727847677952,1048668415085277189
377,1048664727847677952,1048666117168713728
378,1048664727847677952,1048665018416484354
379,1048664727847677952,1048664942809944065
380,1048664727847677952,1048664878687375360
381,1048719449417629697,1049406115170213888
382,1049648243922149377,1049839413382053888
383,1049648243922149377,1049772988596408320
384,1049648243922149377,1049660843846131712
385,1049648243922149377,1049658239418294272
386,1049648243922149377,1049654189880737792
387,1049648243922149377,1049653235269685248
388,1049648243922149377,1049651857885401088
389,1049648243922149377,1049651488874590208
390,1049648243922149377,1049650051222593537
391,1049648243922149377,1049650035678437376
392,1049648243922149377,1049649654705610753
393,1049648243922149377,1049649139057717248
394,1049648243922149377,1049649002252304385
395,1049648243922149377,1049648998980743168
396,1049648243922149377,1049648855984287745
397,1049648243922149377,1049648708340645888
398,1049648243922149377,1049648682491138050
399,1049648243922149377,1049648325765582848
400,1055791469267705857,1055819500841385984
401,1070365702991822848,1070366251195740161
