,source,target
0,politifact13303,784478264408567812
1,politifact13303,784478639891120128
2,politifact13303,784478705125122049
3,politifact13303,784481631578955776
4,politifact13303,784481775489875968
5,politifact13303,784482078545043456
6,politifact13303,784486383780069376
7,politifact13303,784487676170817536
8,politifact13303,784487677563318272
9,politifact13303,784488595092492288
10,politifact13303,784499577822941184
11,politifact13303,784502197316825088
12,politifact13303,784502194489876480
13,politifact13303,784502198155608064
14,politifact13303,784502872155230208
15,politifact13303,784506646764584960
16,politifact13303,784507896851750912
17,politifact13303,784508082369990657
18,politifact13303,784508762233016320
19,politifact13303,784510200304791552
20,politifact13303,784514067654467588
21,politifact13303,784514206804697088
22,politifact13303,784517313710075904
23,politifact13303,784519170893504512
24,politifact13303,784521287116914688
25,politifact13303,784536576474943547
26,politifact13303,784539743782666246
27,politifact13303,784539743228981249
28,politifact13303,784541765353209857
29,politifact13303,784544923064365059
30,politifact13303,784559229969526788
31,politifact13303,784563335060676609
32,politifact13303,784563382548570113
33,politifact13303,784563386986233857
34,politifact13303,784595828996538368
35,politifact13303,784615167506149376
36,politifact13303,784633863234617344
37,politifact13303,784699080308031488
38,politifact13303,784700588969828353
39,politifact13303,784719286682222592
40,politifact13303,784766761577033728
41,politifact13303,784767256634888192
42,politifact13303,784841728981364736
43,politifact13303,784924477792608258
44,politifact13303,785012903124492288
45,politifact13303,785289243769856001
46,politifact13303,785325233783894016
47,politifact13303,785530090570387456
48,politifact13303,785926853806657536
49,politifact13303,786164726585753601
50,politifact13303,786217373065818113
51,politifact13303,788877544741277696
52,politifact13303,790016755557072896
53,politifact13303,791710635285286912
54,politifact13303,792522204613267456
55,politifact13303,793879734069362688
56,politifact13303,794925051686502400
57,politifact13303,795732028746514437
58,politifact13303,802947701394419712
59,politifact13303,807322693360095232
60,politifact13303,808041725088399360
61,politifact13303,808299803255767041
62,politifact13303,808318364955320320
63,politifact13303,808320182955413509
64,politifact13303,808330547600695296
65,politifact13303,808340292155871232
66,politifact13303,810149895554244608
67,politifact13303,810801585970446336
68,politifact13303,814895898178134016
69,politifact13303,815727568947027968
70,politifact13303,817464211408359426
71,politifact13303,817780905469218820
72,politifact13303,822474246563708929
73,politifact13303,822474283217776640
74,politifact13303,822474356349661185
75,politifact13303,838420243026489345
76,politifact13303,847257470229651456
77,politifact13303,851486449258160128
78,politifact13303,875531788944322560
79,politifact13303,880960255747911684
80,politifact13303,880971017367179264
81,politifact13303,883886692444360709
82,politifact13303,884196768648486913
83,politifact13303,889845414052204550
84,politifact13303,929316788952813573
85,politifact13303,998920458375483392
86,politifact13303,998926461888221185
87,politifact13303,999135906031255552
88,politifact13303,1048296092566257664
89,politifact13303,1053349052799221760
