,source,target
0,politifact937,140962137332920320
1,politifact937,141536162702565376
2,politifact937,141783312627793920
3,politifact937,141897044527824896
4,politifact937,142254648311545858
5,politifact937,142526934813913088
6,politifact937,142801514677809152
7,politifact937,143238907524431872
8,politifact937,143581407355224065
9,politifact937,144137814576070656
10,politifact937,144451627481448448
11,politifact937,145104169794142210
12,politifact937,145248633548308480
13,politifact937,145674947359031296
14,politifact937,146138479464693760
15,politifact937,146848193924182016
16,politifact937,149001871409946624
17,politifact937,149376343677747200
18,politifact937,150104388550135808
19,politifact937,154278376037810176
20,politifact937,154671474341462016
21,politifact937,155172785914781696
22,politifact937,156588360880758786
23,politifact937,156969872159551490
24,politifact937,157234121968586752
25,politifact937,157605346179952640
26,politifact937,158203738081861632
27,politifact937,158598847889809409
28,politifact937,158886486740189185
29,politifact937,159715704814321665
30,politifact937,160074321539235840
31,politifact937,160390658857766912
32,politifact937,161817891455504385
33,politifact937,162634946316476416
34,politifact937,162872518347206657
35,politifact937,164293359526088704
36,politifact937,164800215977693184
37,politifact937,167274255451557891
38,politifact937,169308447714717696
39,politifact937,170037480819654656
40,politifact937,173211984563675137
41,politifact937,174586948323782657
42,politifact937,175130013170008064
43,politifact937,179816933804347393
44,politifact937,184890349125255168
45,politifact937,188330005141524480
46,politifact937,193403446630686720
47,politifact937,194191876025364480
48,politifact937,205244223056916480
49,politifact937,205981565476540416
50,politifact937,206055056196370433
51,politifact937,212747780949688320
52,politifact937,215079055786119169
53,politifact937,217648884946702337
54,politifact937,223720451531214849
55,politifact937,223766297853435905
56,politifact937,230578528490516481
57,politifact937,230587601374023680
58,politifact937,244456460665364480
59,politifact937,254173145584517120
60,politifact937,254732331716337664
61,politifact937,255427813308506112
62,politifact937,256656239830896640
63,politifact937,256773049691549696
64,politifact937,257567271923363842
65,politifact937,258151373181444096
66,politifact937,259046050558529536
67,politifact937,259205310093336576
68,politifact937,259711714424131584
69,politifact937,260074108014956544
70,politifact937,260231094287364096
71,politifact937,260606026997456896
72,politifact937,260681525648052224
73,politifact937,260968429836705792
74,politifact937,261049482098130944
75,politifact937,261351489589616640
76,politifact937,261419885387726849
77,politifact937,261734474285453312
78,politifact937,261797129792667648
79,politifact937,262111952434786304
80,politifact937,262174607203762176
81,politifact937,262474601253179392
82,politifact937,262537254575157248
83,politifact937,262837541084999680
84,politifact937,262900160022061056
85,politifact937,263199924705959936
86,politifact937,263262542200176640
87,politifact937,263577609034690560
88,politifact937,263640335895392256
89,politifact937,263666101118976000
90,politifact937,263940256414457858
91,politifact937,264002930540163072
92,politifact937,264302627720929280
93,politifact937,264365299787235328
94,politifact937,264665034066649088
95,politifact937,264727692522426368
96,politifact937,265042517806948353
97,politifact937,265105176900280320
98,politifact937,265404895581052929
99,politifact937,265467588547588096
100,politifact937,265767320914382848
101,politifact937,265829953197731841
102,politifact937,266129689251311619
103,politifact937,266192351112871939
104,politifact937,266492078752665600
105,politifact937,266554713510662144
106,politifact937,266854482791510018
107,politifact937,266917108632416256
108,politifact937,267216827946516480
109,politifact937,267279510783795202
110,politifact937,267579231410716672
111,politifact937,267641922934407170
112,politifact937,267941613047775232
113,politifact937,268004292642865152
114,politifact937,268303993653035008
115,politifact937,268366712380997632
116,politifact937,268666406306971648
117,politifact937,268729102918369280
118,politifact937,269028779719028737
119,politifact937,269391154439659520
120,politifact937,269753539922890752
121,politifact937,270115947233304577
122,politifact937,270563273869496321
123,politifact937,271377238811885569
124,politifact937,277148167965929472
125,politifact937,304640559295889411
126,politifact937,352720886387843075
127,politifact937,352736685156601857
128,politifact937,353949734995640320
129,politifact937,389308497340661762
130,politifact937,390062028620304384
131,politifact937,397982212383338496
132,politifact937,404735644124983296
133,politifact937,407585923644153856
134,politifact937,420400991867895808
135,politifact937,422432850822967296
136,politifact937,423225151011172352
137,politifact937,424157964060983296
138,politifact937,424161179091496960
139,politifact937,424584989242445824
140,politifact937,424674026238533632
141,politifact937,444847622428164096
142,politifact937,448831196219596800
143,politifact937,455739569090985984
144,politifact937,466215091978141696
145,politifact937,481728879455780864
146,politifact937,489665487404818433
147,politifact937,512643437842014209
148,politifact937,518042373780017152
149,politifact937,552099761302814720
150,politifact937,552222200213016577
151,politifact937,552440470719442946
152,politifact937,553206832383422465
153,politifact937,553468575068209152
154,politifact937,558231515901865984
155,politifact937,558231814834102273
156,politifact937,578687357202862081
157,politifact937,590047999159455744
158,politifact937,596968538478399488
159,politifact937,596978813076017153
160,politifact937,596980266192773120
161,politifact937,597768174227030017
162,politifact937,603307196034752512
163,politifact937,607559149728063488
164,politifact937,608720066478227457
165,politifact937,610794049046327296
166,politifact937,711659280336818176
167,politifact937,716578871135510529
168,politifact937,716858626766282752
169,politifact937,730473600914960390
170,politifact937,738603333464690688
171,politifact937,755694978861502464
172,politifact937,756000095569575937
173,politifact937,766625119137632257
174,politifact937,798198975291654144
175,politifact937,858445978264887297
176,politifact937,885158843449212929
177,politifact937,885158855268683776
178,politifact937,885158873207894016
179,politifact937,885158879469854721
180,politifact937,885158884326883330
181,politifact937,885159115881947137
182,politifact937,885159457264631808
183,politifact937,885159489091100676
184,politifact937,885159610210033664
185,politifact937,885159649787379712
186,politifact937,885159661099515905
187,politifact937,885159873587159042
188,politifact937,885160857818120192
