,source,target
0,politifact14070,547128382111375360
1,politifact14070,576385013509431296
2,politifact14070,765622112765763586
3,politifact14070,765624150480281600
4,politifact14070,770329423878946816
5,politifact14070,819973920694603776
6,politifact14070,829774500942209024
7,politifact14070,829782259205038082
8,politifact14070,829791762487074817
9,politifact14070,829796111263096832
10,politifact14070,829819031821615105
11,politifact14070,829819039937654785
12,politifact14070,829819573184638976
13,politifact14070,829819793813405699
14,politifact14070,829820708792520704
15,politifact14070,829821852814045184
16,politifact14070,829822048209891335
17,politifact14070,829822407099678722
18,politifact14070,829823946711244800
19,politifact14070,829824684581601280
20,politifact14070,829826077015023619
21,politifact14070,829828533442772994
22,politifact14070,829828569148829700
23,politifact14070,829828752825806848
24,politifact14070,829829189234782208
25,politifact14070,829831241864196096
26,politifact14070,829831633297670145
27,politifact14070,829835578128502784
28,politifact14070,829842876519632896
29,politifact14070,829862924164460548
30,politifact14070,829875031744270336
31,politifact14070,830076212164829184
32,politifact14070,830095271891701760
33,politifact14070,830157110184927232
34,politifact14070,830409362967498753
35,politifact14070,831585315664044034
36,politifact14070,832266616461197313
37,politifact14070,839966931109228544
38,politifact14070,840244541877813248
39,politifact14070,848534667770941441
40,politifact14070,856021392042541057
41,politifact14070,856185801801072640
42,politifact14070,857667362513981441
43,politifact14070,857730906609643520
44,politifact14070,857764198180323328
45,politifact14070,859020612764827648
46,politifact14070,859783467470663680
47,politifact14070,865563339417636865
48,politifact14070,866791137289281536
49,politifact14070,866869126601609216
50,politifact14070,868632100483846144
51,politifact14070,876032716961140737
52,politifact14070,936673385429458944
53,politifact14070,1014353211459694595
54,politifact14070,1034377692647448576
55,politifact14070,1062360515106799616
