,id,num_tweets_con_rt,index
0,politifact15014,25,0
1,politifact15156,10,1
2,politifact14745,44,2
3,politifact15371,65,3
4,politifact14404,41,4
5,politifact13919,41,5
6,politifact14795,22,6
7,politifact14328,24,7
8,politifact13775,49,8
9,politifact14678,49,9
10,politifact14394,49,10
11,politifact14890,9,11
12,politifact14356,9,12
13,politifact14776,14,13
14,politifact15355,14,14
15,politifact14664,154,15
16,politifact15178,6,16
17,politifact15309,8,17
18,politifact14755,14,18
19,politifact13806,6,19
20,politifact14742,313,20
21,politifact13677,35,21
22,politifact15280,67,22
23,politifact14310,217,23
24,politifact14863,105,24
25,politifact15004,43,25
26,politifact13773,187,26
27,politifact14258,25,27
28,politifact14235,6,28
29,politifact14940,25,29
30,politifact13687,113,30
31,politifact14305,113,31
32,politifact15367,18,32
33,politifact14862,18,33
34,politifact13949,529,34
35,politifact15591,15,35
36,politifact13887,21,36
37,politifact15262,43,37
38,politifact15525,11,38
39,politifact13589,96,39
40,politifact13565,7,40
41,politifact14565,7,41
42,politifact14548,4393,42
43,politifact14564,36,43
44,politifact14386,22,44
45,politifact13515,322,45
46,politifact14222,19,46
47,politifact13745,19,47
48,politifact14211,46,48
49,politifact15492,16,49
50,politifact14567,16,50
51,politifact14700,124,51
52,politifact15287,99,52
53,politifact15386,99,53
54,politifact13905,222,54
55,politifact14506,221,55
56,politifact15631,42,56
57,politifact14205,9,57
58,politifact15625,33,58
59,politifact15263,145,59
60,politifact14126,52,60
61,politifact14837,21,61
62,politifact15256,133,62
63,politifact13765,9,63
64,politifact15129,43,64
65,politifact14896,41,65
66,politifact13827,18,66
67,politifact13784,10,67
68,politifact15031,85,68
69,politifact15049,7,69
70,politifact14991,28,70
71,politifact13955,41,71
72,politifact14836,41,72
73,politifact13771,32,73
74,politifact13924,24,74
75,politifact15108,73,75
76,politifact13936,74,76
77,politifact13747,7,77
78,politifact14644,55,78
79,politifact14859,133,79
80,politifact14904,64,80
81,politifact14832,12,81
82,politifact14327,6,82
83,politifact14135,10,83
84,politifact13468,13,84
85,politifact14148,64,85
86,politifact13929,34,86
87,politifact14754,7,87
88,politifact13544,47,88
89,politifact15494,18,89
90,politifact14309,7,90
91,politifact14605,10,91
92,politifact14008,106,92
93,politifact15418,6,93
94,politifact15048,60,94
95,politifact14161,9,95
96,politifact13913,87,96
97,politifact14259,14,97
98,politifact14839,62,98
99,politifact15419,62,99
100,politifact13807,13,100
101,politifact15187,103,101
102,politifact13731,12,102
103,politifact14021,12,103
104,politifact15342,52,104
105,politifact14960,12,105
106,politifact14835,47,106
107,politifact14238,34,107
108,politifact15207,45,108
109,politifact14498,173,109
110,politifact14311,114,110
111,politifact14500,6,111
112,politifact14597,6,112
113,politifact14481,67,113
114,politifact14856,164,114
115,politifact15512,6,115
116,politifact13703,15,116
117,politifact15564,15,117
118,politifact15217,25,118
119,politifact14777,34,119
120,politifact14876,16,120
