,id,num_tweets_con_rt,index
0,politifact14984,323,0
1,politifact12944,10,1
2,politifact333,10,2
3,politifact4358,10,3
4,politifact14064,7,4
5,politifact14474,19,5
6,politifact5276,19,6
7,politifact1313,93,7
8,politifact937,37,8
9,politifact8227,37,9
10,politifact13420,443,10
11,politifact13087,19,11
12,politifact13132,6,12
13,politifact4809,6,13
14,politifact1084,44,14
15,politifact13260,44,15
16,politifact1325,44,16
17,politifact1624,44,17
18,politifact1823,44,18
19,politifact2166,6,19
20,politifact13303,15,20
21,politifact667,16,21
22,politifact513,170,22
23,politifact14070,25,23
24,politifact12945,17,24
25,politifact14036,354,25
26,politifact537,107,26
27,politifact118,505,27
28,politifact356,283,28
29,politifact401,251,29
30,politifact384,555,30
