Id,Source,Target
0,ABC,Real
1,ABC,Real
2,ABC,Acceptable
3,ABC,Real
4,ABC,Real
5,ABC,Real
6,ABC,Real
7,ABC,Real
8,ABC,Real
9,ABC,Real
10,ABC,Real
11,ABC,Real
12,ABC,Real
13,ABC,Real
14,ABC,Real
15,ABC,Real
16,ABC,Real
17,ABC,Real
18,ABC,Real
19,ABC,Real
20,Al Jazeera,Real
21,Al Jazeera,Real
22,Al Jazeera,Real
23,Al Jazeera,Real
24,Al Jazeera,Real
25,Al Jazeera,Real
26,Al Jazeera,Real
27,Al Jazeera,Real
28,Al Jazeera,Real
29,Al Jazeera,Real
30,Al Jazeera,Real
31,Al Jazeera,Real
32,Al Jazeera,Real
33,Al Jazeera,Real
34,Al Jazeera,Real
35,Alternet,Acceptable
36,Alternet,Acceptable
37,Alternet,Fake
38,Alternet,Real
39,Alternet,Fake
40,Alternet,Real
41,Alternet,Fake
42,Alternet,Acceptable
43,Alternet,Real
44,Alternet,Fake
45,Alternet,Fake
46,Alternet,Acceptable
47,Alternet,Real
48,Alternet,Fake
49,Alternet,Real
50,Alternet,Acceptable
51,"American Spectator, The",Fake
52,"American Spectator, The",Fake
53,"American Spectator, The",Acceptable
54,"American Spectator, The",Acceptable
55,"American Spectator, The",Fake
56,"American Spectator, The",Real
57,"American Spectator, The",Acceptable
58,"American Spectator, The",Fake
59,"American Spectator, The",Fake
60,AP,Real
61,AP,Real
62,AP,Real
63,AP,Real
64,AP,Real
65,AP,Real
66,AP,Real
67,AP,Real
68,AP,Real
69,AP,Real
70,AP,Real
71,AP,Real
72,AP,Real
73,AP,Real
74,AP,Real
75,AP,Real
76,AP,Real
77,AP,Real
78,AP,Real
79,AP,Real
80,AP,Real
81,AP,Real
82,AP,Real
83,AP,Real
84,AP,Real
85,AP,Real
86,AP,Real
87,AP,Real
88,AP,Real
89,AP,Real
90,AP,Real
91,AP,Real
92,AP,Real
93,AP,Real
94,AP,Real
95,AP,Real
96,AP,Real
97,AP,Real
98,AP,Real
99,AP,Real
100,AP,Real
101,AP,Real
102,AP,Real
103,AP,Real
104,AP,Real
105,AP,Real
106,Axios,Real
107,Axios,Real
108,Axios,Real
109,Axios,Real
110,Axios,Real
111,Axios,Real
112,Axios,Real
113,Axios,Real
114,Axios,Real
115,Axios,Real
116,Axios,Real
117,Axios,Real
118,Axios,Real
119,Axios,Real
120,BBC,Real
121,BBC,Real
122,BBC,Real
123,BBC,Real
124,BBC,Real
125,BBC,Real
126,BBC,Real
127,BBC,Real
128,BBC,Real
129,BBC,Real
130,BBC,Real
131,BBC,Real
