id,name,weight
0,OfeliasHeaven,9
1,lorn_cramer,4
2,SuspendedAccount,1337
3,lupash7,2
4,yojudenz,9
5,WilliamNerbonne,1
6,saveusrepublic2,1
7,starchaser57,1
8,Ettan1945,3
9,ThePipeStore,1
10,bronwyn1140,3
11,movie1212,4
12,michaelaw631,2
13,Nappers824,2
14,kldreams61,2
15,ronwagn,6
16,ChasD3,1
17,Kurt_770A,5
18,nhssabine,2
19,RealMAGASteve,1
20,Billionaire128,2
21,tasteofaz,1
22,Stevenehumphrey,1
23,poooopers,6
24,fat2energy,1
25,cannoneerno4,1
26,Iridium24,1
27,CalRWinn,1
28,Ace__of__Hearts,1
29,sunbeltgirl,1
30,RuffusMD,1
31,DGHallow,1
32,A1arch,1
33,letgobestill,2
34,Melissa31920880,2
35,citigirl555,1
36,crosshairsonyou,2
37,patriots4trump,1
38,BillyBoysDaddy,2
39,kin2souls,6
40,Mmarty1230,1
41,kangenagicdave,1
42,soxfaninpa1,1
43,lumpy3148,2
44,TmottaDing,1
45,cwoolley06,1
46,patrickemry,1
47,HoylandEileen,1
48,nclawyer2,2
49,bestra6169,1
50,russosimon,2
51,BigBobDC68,1
52,NEPTUNE1X2X,2
53,Shannon091171,1
54,ASteveRobinson,1
55,lesliedalehicks,2
56,ArizonaSun3,2
57,byrdiemarquez,4
58,focusnewspro,1
59,snyder777,1
60,PJ_Phares,1
61,toppertaco,4
62,jeanmarie1023,1
63,GoodScienceFYou,1
64,155thMed,3
65,RDVarley,1
66,MichaelBendall7,2
67,twin0830us,2
68,rkaley1,1
69,PRheydt,1
70,borderfox116,4
71,RoyMcCampbell,1
72,royfmc,1
73,blaze0497,4
74,jboatman3,1
75,teri3622,2
76,peggy_podod12,5
77,marvelbrannock,1
78,jerrydr,2
79,Kittykatnip1970,2
80,BrettWSabio,1
81,garzagarza1972,2
82,mks8864,4
83,PattiPropst,1
84,TVOTP1,1
85,IRONRHINO333,1
86,ccc122436,2
87,ken_parrish,1
88,mitigirl,3
89,wbrock2,2
90,oscar23_fuentes,5
91,Janice36017731,2
92,DwayneTraut,1
93,zflip26,1
94,attentionmars,3
95,Bamatopher,1
96,ImRodriguez9,1
97,saber24R,1
98,durham5611,1
99,mcall715432,4
100,oathkeeper7777,1
101,dennis_neier,1
102,zefmar88,1
103,EnglishTrerry,1
104,migueldiablo65,1
