id,name,weight
0,OfeliasHeaven,2
1,lorn_cramer,2
2,lupash7,1
3,yojudenz,3
4,WilliamNerbonne,1
5,saveusrepublic2,1
6,starchaser57,1
7,Ettan1945,1
8,ThePipeStore,1
9,bronwyn1140,1
10,movie1212,1
11,michaelaw631,2
12,Nappers824,1
13,kldreams61,1
14,ronwagn,1
15,ChasD3,1
16,Kurt_770A,1
17,nhssabine,2
18,RealMAGASteve,1
19,Billionaire128,1
20,tasteofaz,1
21,Stevenehumphrey,1
22,poooopers,2
23,fat2energy,1
24,cannoneerno4,1
25,Iridium24,1
26,CalRWinn,1
27,Ace__of__Hearts,1
28,sunbeltgirl,1
29,RuffusMD,1
30,DGHallow,1
31,A1arch,1
32,letgobestill,1
33,Melissa31920880,1
34,citigirl555,1
35,crosshairsonyou,2
36,patriots4trump,1
37,BillyBoysDaddy,2
38,kin2souls,3
39,Mmarty1230,1
40,kangenagicdave,1
41,soxfaninpa1,1
42,lumpy3148,2
43,TmottaDing,1
44,cwoolley06,1
45,patrickemry,1
46,HoylandEileen,1
47,nclawyer2,1
48,bestra6169,1
49,russosimon,1
50,BigBobDC68,1
51,NEPTUNE1X2X,1
52,Shannon091171,1
53,ASteveRobinson,1
54,lesliedalehicks,1
55,ArizonaSun3,2
56,byrdiemarquez,2
57,focusnewspro,1
58,snyder777,1
59,PJ_Phares,1
60,toppertaco,2
61,jeanmarie1023,1
62,GoodScienceFYou,1
63,155thMed,1
64,RDVarley,1
65,MichaelBendall7,1
66,twin0830us,1
67,rkaley1,1
68,PRheydt,1
69,borderfox116,2
70,RoyMcCampbell,1
71,royfmc,1
72,blaze0497,4
73,jboatman3,1
74,teri3622,2
75,peggy_podod12,1
76,marvelbrannock,1
77,jerrydr,1
78,Kittykatnip1970,1
79,BrettWSabio,1
80,garzagarza1972,1
81,mks8864,2
82,PattiPropst,1
83,TVOTP1,1
84,IRONRHINO333,1
85,ccc122436,1
86,ken_parrish,1
87,mitigirl,1
88,wbrock2,1
89,oscar23_fuentes,1
90,Janice36017731,1
91,DwayneTraut,1
92,zflip26,1
93,attentionmars,2
94,Bamatopher,1
95,ImRodriguez9,1
96,saber24R,1
97,durham5611,1
98,mcall715432,2
99,oathkeeper7777,1
100,dennis_neier,1
101,zefmar88,1
102,EnglishTrerry,1
103,migueldiablo65,1
104,lawbarrett55,1
105,InezLPN,1
106,MangusColorado,3
107,RiveraVinny,1
108,cynr46_rueth,1
109,lsmoore2405,1
110,Calle48,1
111,JimCurley4,1
112,crews_donnie,1
113,JOHNWIL94936475,2
114,mimi_gant,1
115,JosephLThomasJr,1
116,CostenRon,1
117,tice_stacy,1
118,obamolizer,4
119,OneMoreTime64,1
120,SimplifyReason,1
121,ElioCollazo,2
122,FactandMythCom,1
123,VictorMiranda30,1
124,Hoaxolizer,2
125,10jhez10,1
126,SW_FLA_REALTOR,1
127,WhiteHouse24x7,1
128,Nancy_Crouse,1
129,TripTrundle,1
130,President,1
131,cdfonyo,1
