id,name,weight
0,OfeliasHeaven,5
1,lorn_cramer,2
2,lupash7,1
3,yojudenz,3
4,WilliamNerbonne,1
5,saveusrepublic2,1
6,starchaser57,1
7,Ettan1945,1
8,ThePipeStore,1
9,bronwyn1140,2
10,movie1212,3
11,michaelaw631,2
12,Nappers824,1
13,kldreams61,1
14,ronwagn,2
15,ChasD3,1
16,Kurt_770A,2
17,nhssabine,2
18,RealMAGASteve,1
19,Billionaire128,1
20,tasteofaz,1
21,Stevenehumphrey,1
22,poooopers,2
23,fat2energy,1
24,cannoneerno4,1
25,Iridium24,1
26,CalRWinn,1
27,Ace__of__Hearts,1
28,sunbeltgirl,1
29,RuffusMD,1
30,DGHallow,1
31,A1arch,1
32,letgobestill,1
33,Melissa31920880,2
34,citigirl555,1
35,crosshairsonyou,2
36,patriots4trump,1
37,BillyBoysDaddy,2
38,kin2souls,4
39,Mmarty1230,1
40,kangenagicdave,1
41,soxfaninpa1,1
42,lumpy3148,2
43,TmottaDing,1
44,cwoolley06,1
45,patrickemry,1
46,HoylandEileen,1
47,nclawyer2,1
48,bestra6169,1
49,russosimon,1
50,BigBobDC68,1
51,NEPTUNE1X2X,1
52,Shannon091171,1
53,ASteveRobinson,1
54,lesliedalehicks,1
55,ArizonaSun3,2
56,byrdiemarquez,2
57,focusnewspro,1
58,snyder777,1
59,PJ_Phares,1
60,toppertaco,2
61,jeanmarie1023,1
62,GoodScienceFYou,1
63,155thMed,2
64,RDVarley,1
65,MichaelBendall7,1
66,twin0830us,1
67,rkaley1,1
68,PRheydt,1
69,borderfox116,2
70,RoyMcCampbell,1
71,royfmc,1
72,blaze0497,4
73,jboatman3,1
74,teri3622,2
75,peggy_podod12,2
76,marvelbrannock,1
77,jerrydr,1
78,Kittykatnip1970,2
79,BrettWSabio,1
80,garzagarza1972,1
81,mks8864,1
82,PattiPropst,1
83,TVOTP1,1
84,IRONRHINO333,1
85,ccc122436,1
86,ken_parrish,1
87,mitigirl,3
88,wbrock2,2
89,oscar23_fuentes,1
90,Janice36017731,1
91,DwayneTraut,1
92,zflip26,1
93,attentionmars,2
94,Bamatopher,1
95,ImRodriguez9,1
96,saber24R,1
97,durham5611,1
98,mcall715432,2
99,oathkeeper7777,1
100,dennis_neier,1
101,zefmar88,1
102,EnglishTrerry,1
103,migueldiablo65,1
104,lawbarrett55,1
105,InezLPN,2
106,MangusColorado,4
107,RiveraVinny,2
108,cynr46_rueth,2
109,lsmoore2405,1
110,Calle48,1
111,JimCurley4,1
112,crews_donnie,1
113,JOHNWIL94936475,2
114,mimi_gant,1
115,JosephLThomasJr,1
116,CostenRon,1
117,tice_stacy,1
118,obamolizer,2
119,OneMoreTime64,1
120,SimplifyReason,2
121,ElioCollazo,3
122,FactandMythCom,2
123,VictorMiranda30,3
124,Hoaxolizer,3
125,10jhez10,2
126,SW_FLA_REALTOR,2
127,WhiteHouse24x7,1
128,Nancy_Crouse,1
129,TripTrundle,1
130,President,1
131,cdfonyo,1
132,Obamaupdate200,1
133,EINObamaNews,1
134,NY212Mick,2
135,JoAnneKlem,1
136,Dano50,1
137,SusanSharay,1
138,JazzyjaceJace,1
139,natur_luvr,1
140,DudekLinda,1
141,Kimbiwa,1
142,realtj49er,1
143,mollymoor,1
144,vevgar,1
145,annykat41,1
146,Herbalmike,1
147,say3738,2
148,Jagauress,1
149,TruePatriot51,2
150,maltoy2000,2
151,WPubEBwilkes,3
152,mpilotone,1
153,eva48w4,1
154,AvonCTStyle,1
155,JenniferEvette6,1
156,amronsomar,1
157,earl1943,2
158,sddubrinsky,1
159,liltxhurricane4,1
160,lizmichael,1
161,WillysBaldSpot,1
162,cbprincess5,2
163,Trump4PrezXX,1
164,strangegarden7,1
165,TerryJMcMurray,2
166,FpoeNewz,1
167,Anzers,3
168,fourones1,1
169,baberu,3
170,JWiseLaw,1
171,gldbug,1
172,murfloneranger,1
173,worthacomment,1
174,marcrespo22,1
175,sheila06942158,5
176,johnmark19,2
177,JamesCa14972101,1
178,jlcollins283655,1
179,chp3871,1
180,WyattRCB1,1
181,cinders1313,3
182,SmithNSons,1
183,kylie_oneil75,2
184,Ch2Christo,1
185,bmarsh31,1
186,keldoc405,1
187,JohnSlusarick,1
188,GlobalReina,1
189,alvinator2u,1
190,Karek22,2
191,Donnalee222,1
192,SnowBlasting,1
193,muligan4me,1
194,247wagering,1
195,a3auntie,1
196,SirJaxx,1
197,TeaPartyTrumper,1
198,james_suire,1
199,NobamaDotCom,1
200,campingusa04,1
201,JoeXpressauto,2
202,CovfefeAlee,1
203,thefreeguru,1
204,John_Frank1954,1
205,icedragonx77,2
206,cgpb,1
207,SilasLongshot,1
208,bubba649,1
209,zeefa64,2
210,NamVet6669,1
211,LyleKlich,4
212,Sanctus_Christ,6
213,JAM_INSURANCE,1
214,buckfynn,1
215,ChuckJackson10,1
216,Rabid_AU,1
217,S1776frdm,1
218,rustythimble54,1
219,mmazzonejr,1
220,dmcnally1952,1
221,4_trump2020,1
222,raptureready299,1
223,beth2_k3a,1
224,frank95054,1
225,Zeke311,1
226,SL1733,1
227,JerryWoods8491,1
228,kaci1951,1
229,fatcatboots,1
230,KumheWillie,1
231,KenFro,2
232,Jerry6342,1
233,expatworldtagum,1
234,CharlesShytles,1
235,jamestrumpster1,1
236,Texastweetybird,2
237,MikeHud99832954,1
238,EriqElikplim,1
239,PaPawGeorge,1
240,Briinthesprings,1
241,angelnmt2012,1
242,RosieBud521,1
243,Creekredman,2
244,sirish789,1
245,Orkidnut,1
246,goodinohio,2
247,BanzaiM4,1
248,YesImDeplorable,1
249,kevingunter27,1
250,HomunculusLoikm,1
251,ShermanGraves,1
252,tallguy62,1
253,SillemanPam,1
254,forsaken_man,1
255,aceaerialphoto,1
256,njvikings1,2
257,myaki1718,1
258,nop3472,1
259,richierigg1,2
260,treniatoday,1
261,ElwinSnyder2,1
262,henrywilburn1,1
263,RogerSJosephJr,1
264,juanita_lux,2
265,jadwolfer,1
266,minsalbooks,1
267,James_K_Bryson,1
268,search4rr,1
269,shortman5427,3
270,Bonnie_,2
271,susanhunley,1
272,timbit777,1
273,nathanson57,2
274,PrettyPoisond1,1
275,tinkerswings,1
276,robnash13f,1
277,lemonygelato,1
278,wufandmew,3
279,YDrgwyla,1
280,Hen2pa,2
281,VillaLaCollina,1
282,THESuper_Nana,2
283,craigdh,2
284,DeniseM04406851,1
285,ldyglfr1953,1
286,SkuterP,3
287,Opportunity4u,1
288,tom_ingram,1
289,Carol38553,1
290,orion_kp,1
291,gutntag2u,2
292,GuyGuy60,1
293,marquisdejolie,1
294,TheHandyman61,1
295,newspolice1,1
296,TrumpGirly,1
297,americantreesup,1
298,daneillesteele,1
299,JimHillTx,1
300,ellejac7900,2
301,concider8,1
302,Vixstress,1
303,Cortaman,1
304,HHSASAGH,1
305,Natasha_Tyson,1
306,karenbothma1,1
307,CocoKissack,1
308,davyhobson,1
309,akonacards,1
310,grantwjacobs,1
311,successdasilva,1
312,TodaysSkripture,1
313,jolenejacobs13,1
314,LeadStoriesCom,4
315,karinaleech14,1
316,Tequilatattoo,2
317,chocwrld,1
318,NaijaOlofofo,1
319,welshfurnishing,1
320,fionnmccumhaill,1
321,conorlynch90,1
322,MKambindji,1
323,juniormajahh,1
324,darylsturgis,1
325,stephenmcramer,1
326,CarterHarms,1
327,nellokie,1
328,Auxi13Sheila,1
329,coopah,3
330,Peacepox,1
331,darmagirl24,1
332,PHILMSMITHJR,1
333,Daity1,1
334,frenchleap,1
335,david_landis,1
336,Russell_Hord,1
337,EJLandwehr,1
338,txstarkeeper,1
339,ellienowels,1
340,ColleenPerron,1
341,scruffie63,1
342,diaz_mldiaz9,1
343,joyceheiman,1
344,415holgate,1
345,RudyGSanchez5,1
346,Jerusal53393006,1
347,Sweetygirl3125,1
348,chrisdanne2,1
349,urjkary0987,1
350,lsleblanc1,1
351,crewislife,1
352,PattiCucchiara,1
353,DavidleeDr,1
354,soberbrat2,1
355,beehappytoo,1
356,purplemoon333,1
357,mariaeke,1
358,mistyferguson,1
359,Jclar672Jmc,1
360,JoannaVincenti,1
361,DavidLeftwich68,1
362,AmaraaU,1
363,Palmtrees40,1
364,alphabetsoupmmm,1
365,arielquirozart,1
366,celest_doc,1
367,ZentekClothing,1
368,joyceow33809563,1
369,AMISTAD604,1
370,Rainonventura,1
371,pbathon12,1
372,mizwizmizwiz,1
373,dekoran1,1
374,LinWai12,1
375,martinartist_19,1
376,CraigRozniecki,3
377,Evie_Calling,1
378,SuperEB,1
379,slo129,3
380,jean_wisk,1
381,joann_ines,1
382,tu_politics,1
383,dia_tus,1
384,daylipolitics,1
385,Mcallister619,1
386,GabrielWorldF,1
387,arquitriny,1
388,NewsRecharged,1
389,Daily_SFN,1
390,Daily_KWP,1
391,Daily_AUS,1
392,Healthy_TA,1
393,DM_Healthy,1
394,Sw_Healthy,1
395,Daily_Polius,1
396,BK_News_,1
397,hitomi_flex,1
398,News_Tex1,1
399,lov_funny,1
400,woohoo9,1
401,noticiasdl1,1
402,shortpoliticvzl,1
403,News24Politics,1
404,nannamoma,1
405,WorldWorld_news,1
406,dougleisispriet,1
407,markslily11,1
408,DoxieMama007,1
409,itzpms,1
410,NormanSie,2
411,kizlensolutions,1
412,CocoLav2,1
413,SlotzbergLinda,1
414,SototG,1
415,mcfreeman2,1
416,usaone0,1
417,srfulton22,1
418,sorensw,2
419,karenward8521,2
420,UllrichMr,1
421,dcariello1,1
422,gds44,1
423,S_shine57,1
424,ROYALMRBADNEWS,2
425,torresricardovq,2
426,Alantharp22,1
427,risekarens,1
428,debra0120,1
429,CastilloId,1
430,kokoeverett,1
431,davidfgrove111,1
432,laughin12766575,1
433,f_pleasants,1
434,Nitegammer_,1
435,ThomasTomg2001,1
436,AlRobins2015,1
437,RedDuke6,1
438,DonnaCastel,1
439,heidirippl,1
440,holmeslois12,1
441,dobiedoos,1
442,IJNIPGM,1
443,skwogler,1
444,MellaSaldavia,2
445,BobChapman2,1
446,Debi8lark,1
447,TrumpKarin,1
448,paulferrell1,1
449,joeyyeo13,1
450,Yebune,1
451,AAlzsamani,1
452,ssedog,1
453,FxyLdyRks,1
454,satin_silkn,1
455,TreadStone1973,1
456,systemmistress,1
457,KianMcIan,1
458,Eccentrie,1
459,jdp021189,1
460,Alexandra1R1,1
461,lionessofsocial,1
462,reallytrue101,1
463,DreamTeam_Prez,1
464,elkepoley,1
465,hourilo,1
466,Blu1starSky45,1
467,VeVb0PEsposSyTP,1
468,2MuchDebt,1
469,veradubs,1
470,suway7,1
471,MyShieldnRefuge,2
472,Revive_Hope,3
473,MarybethHaydon,2
474,FrontRowSeat42,1
475,revs2300,1
476,2inetLending,1
477,BeulahNix,3
478,Paul1958John,1
479,heifer109,2
480,jphawkins2009,1
481,Barbii_Dahl,1
482,llParadisell,1
483,dmccluskey101,1
484,mgan411,1
485,phillywilly25,1
486,freedom4all101,1
487,BKaysac,1
488,LDknepper,1
489,GhostlyRiderBeo,1
490,vivianmahoney,1
491,ModjajiTen,1
492,MidnightHowl1,1
493,bob194143,1
494,laweiner,1
495,ka_boom87,1
496,NiciLovelady,1
497,BlingNews_com,1
498,RealMamaChiChi,1
499,jgtragesser,1
500,fatcorm,1
501,Blarney51,1
502,VictorLynnAvera,1
503,kmannbear,1
504,albeyder1,1
505,RogersEalbert24,1
506,Cadmium77,1
507,hotUSAmom,1
508,dglend,1
509,MentorMe411,1
510,Ruthie19,1
511,TheBeowulf,1
512,Akwhavasu1,1
513,Kimdeerhunter,1
514,GeorgeBleick,1
515,SharronPettis,1
516,Hasele,1
517,theospark,1
518,rehfuss_dennis,1
519,tessyto,1
520,KittyCatGranny,1
521,vienna_1683,1
522,beckybower651,1
523,tom_tsetung,1
524,PaulStout10,1
525,Citizenpundit12,2
526,realtorjmc,1
527,LoyaltyTrump,1
528,lallo869,8
529,krich417333,2
530,ammexic,1
531,1947mama,1
532,darnette10,1
533,jdh_1956,1
534,nousgnostic,1
535,ForbidenSpeech,1
536,edhunter54,1
537,gam9111,1
538,TNROnline,1
539,Fear_Monger,3
540,WriteNigel,1
541,Cassidy_Pen,1
542,Fakeolizer,1
543,beckymote,1
544,ronaero,1
545,tpb,1
546,luv18wheels,1
547,nberkus,1
548,leighmgaetjens,1
549,mindplexmedia,1
550,terrytfelker38,1
551,mom25tn,1
552,edwinborges11,1
553,e1ais,1
554,Briefing__Room,1
555,shaoneecom12,1
556,Nuts_Deep_,1
557,theunchainedgod,1
558,crkienast,1
559,SarniaToday,3
560,mnwildthing,1
561,stevenminton,1
562,freedomtruthof1,1
563,Imconservative2,3
564,AnnYaggie,1
565,Voice4silenced,1
566,KeithDShrock,2
567,JohnBec30233630,1
568,SupergoofNZ,1
569,rolbev,1
570,CreoleRightGirl,1
571,frank_illes,1
572,BKK918,1
573,rae_etrigan1701,1
574,calvinmotes,1
575,DavidLWhite1,1
576,daeshhun,1
577,DailyRotoSharks,1
578,Kitty_Cat_Momma,1
579,NC_Renegade,1
580,refrigman1,1
581,WildHorses76,1
582,SBenson072,1
583,NCSovereignty,1
584,STONEWALL_NATIO,1
585,DoctorLile,1
586,glassfaces,1
587,larks237,1
588,kissablekaren61,1
589,Stoccado,1
590,cherryone,1
591,JeffreyFerris,1
592,papad48,1
593,DavidKatalenas,1
594,cathiekelley,1
595,hillx123,1
596,dewberrycbd,1
597,DeeC748,1
598,DarrRenee,2
599,darnellsmith,1
600,GRITS1954,1
601,dm0898,1
602,USPatriotLove,1
603,TammrdTammy,1
