,0,1,2,3,4,5,6,7,8
OfeliasHeaven,A,b,d,1,d,f,t,r,u
lorn_cramer,1,2,3,,,,,,
lupash7,A,b,d,1,,,,,
yojudenz,1,2,3,,,,,,
WilliamNerbonne,A,b,d,1,,,,,
saveusrepublic2,1,2,3,,,,,,
starchaser57,A,b,d,1,,,,,
Ettan1945,1,2,3,,,,,,
ThePipeStore,A,b,d,1,,,,,
bronwyn1140,1,2,3,,,,,,
movie1212,A,b,d,1,d,f,t,r,u
michaelaw631,1,2,3,,,,,,
Nappers824,A,b,d,1,,,,,
kldreams61,1,2,3,,,,,,
ronwagn,A,b,d,1,,,,,
ChasD3,1,2,3,,,,,,
Kurt_770A,A,b,d,1,,,,,
nhssabine,1,2,3,,,,,,
RealMAGASteve,A,b,d,1,,,,,
Billionaire128,1,2,3,,,,,,
tasteofaz,A,b,d,1,d,f,t,r,u
Stevenehumphrey,1,2,3,,,,,,
poooopers,A,b,d,1,,,,,
fat2energy,1,2,3,,,,,,
cannoneerno4,A,b,d,1,,,,,
Iridium24,1,2,3,,,,,,
CalRWinn,A,b,d,1,,,,,
Ace__of__Hearts,1,2,3,,,,,,
sunbeltgirl,A,b,d,1,,,,,
RuffusMD,1,2,3,,,,,,
DGHallow,A,b,d,1,d,f,t,r,u
A1arch,1,2,3,,,,,,
letgobestill,A,b,d,1,,,,,
Melissa31920880,1,2,3,,,,,,
citigirl555,A,b,d,1,,,,,
crosshairsonyou,1,2,3,,,,,,
patriots4trump,A,b,d,1,,,,,
BillyBoysDaddy,1,2,3,,,,,,
kin2souls,A,b,d,1,,,,,
Mmarty1230,1,2,3,,,,,,
kangenagicdave,A,b,d,1,d,f,t,r,u
soxfaninpa1,1,2,3,,,,,,
lumpy3148,A,b,d,1,,,,,
TmottaDing,1,2,3,,,,,,
cwoolley06,A,b,d,1,,,,,
patrickemry,1,2,3,,,,,,
HoylandEileen,A,b,d,1,,,,,
nclawyer2,1,2,3,,,,,,
bestra6169,A,b,d,1,,,,,
russosimon,1,2,3,,,,,,
BigBobDC68,A,b,d,1,d,f,t,r,u
NEPTUNE1X2X,1,2,3,,,,,,
Shannon091171,A,b,d,1,,,,,
ASteveRobinson,1,2,3,,,,,,
lesliedalehicks,A,b,d,1,,,,,
ArizonaSun3,1,2,3,,,,,,
byrdiemarquez,A,b,d,1,,,,,
focusnewspro,1,2,3,,,,,,
snyder777,A,b,d,1,,,,,
PJ_Phares,1,2,3,,,,,,
toppertaco,A,b,d,1,d,f,t,r,u
jeanmarie1023,1,2,3,,,,,,
GoodScienceFYou,A,b,d,1,,,,,
155thMed,1,2,3,,,,,,
RDVarley,A,b,d,1,,,,,
MichaelBendall7,1,2,3,,,,,,
twin0830us,A,b,d,1,,,,,
rkaley1,1,2,3,,,,,,
PRheydt,A,b,d,1,,,,,
borderfox116,1,2,3,,,,,,
RoyMcCampbell,A,b,d,1,d,f,t,r,u
royfmc,1,2,3,,,,,,
blaze0497,A,b,d,1,,,,,
jboatman3,1,2,3,,,,,,
teri3622,A,b,d,1,,,,,
peggy_podod12,1,2,3,,,,,,
marvelbrannock,A,b,d,1,,,,,
jerrydr,1,2,3,,,,,,
Kittykatnip1970,A,b,d,1,,,,,
BrettWSabio,1,2,3,,,,,,
garzagarza1972,A,b,d,1,d,f,t,r,u
mks8864,1,2,3,,,,,,
PattiPropst,A,b,d,1,,,,,
TVOTP1,1,2,3,,,,,,
IRONRHINO333,A,b,d,1,,,,,
ccc122436,1,2,3,,,,,,
ken_parrish,A,b,d,1,,,,,
mitigirl,1,2,3,,,,,,
wbrock2,A,b,d,1,,,,,
oscar23_fuentes,1,2,3,,,,,,
Janice36017731,A,b,d,1,d,f,t,r,u
DwayneTraut,1,2,3,,,,,,
zflip26,A,b,d,1,,,,,
attentionmars,1,2,3,,,,,,
Bamatopher,A,b,d,1,,,,,
ImRodriguez9,1,2,3,,,,,,
saber24R,A,b,d,1,,,,,
durham5611,1,2,3,,,,,,
mcall715432,A,b,d,1,,,,,
oathkeeper7777,1,2,3,,,,,,
dennis_neier,A,b,d,1,d,f,t,r,u
zefmar88,1,2,3,,,,,,
EnglishTrerry,A,b,d,1,,,,,
migueldiablo65,1,2,3,,,,,,
lawbarrett55,A,b,d,1,,,,,
InezLPN,1,2,3,,,,,,
MangusColorado,A,b,d,1,,,,,
RiveraVinny,1,2,3,,,,,,
cynr46_rueth,A,b,d,1,,,,,
lsmoore2405,1,2,3,,,,,,
Calle48,A,b,d,1,d,f,t,r,u
JimCurley4,1,2,3,,,,,,
crews_donnie,A,b,d,1,,,,,
JOHNWIL94936475,1,2,3,,,,,,
mimi_gant,A,b,d,1,,,,,
JosephLThomasJr,1,2,3,,,,,,
CostenRon,A,b,d,1,,,,,
tice_stacy,1,2,3,,,,,,
