Id,Source,Target,Weight,Type
0,0,1,1,Undirected
1,0,2,1,Undirected
2,1,2,1,Undirected
3,3,4,1,Undirected
4,3,5,1,Undirected
5,3,6,1,Undirected
6,3,7,1,Undirected
7,3,8,2,Undirected
8,4,5,1,Undirected
9,4,6,1,Undirected
10,4,7,1,Undirected
11,4,8,1,Undirected
12,5,6,1,Undirected
13,5,7,1,Undirected
14,5,8,1,Undirected
15,6,7,1,Undirected
16,6,8,1,Undirected
17,7,8,1,Undirected
18,9,10,1,Undirected
19,9,11,1,Undirected
20,9,12,2,Undirected
21,10,11,1,Undirected
22,10,12,1,Undirected
23,11,12,1,Undirected
24,14,5,1,Undirected
25,14,15,1,Undirected
26,5,15,1,Undirected
27,16,17,1,Undirected
28,18,19,1,Undirected
29,18,20,1,Undirected
30,18,21,1,Undirected
31,18,22,1,Undirected
32,18,23,1,Undirected
33,19,20,1,Undirected
34,19,21,1,Undirected
35,19,22,1,Undirected
36,19,23,1,Undirected
37,20,21,1,Undirected
38,20,22,1,Undirected
39,20,23,1,Undirected
40,21,22,1,Undirected
41,21,23,1,Undirected
42,22,23,1,Undirected
43,24,25,1,Undirected
44,24,26,1,Undirected
45,25,26,1,Undirected
46,27,28,3,Undirected
47,29,30,1,Undirected
48,31,32,1,Undirected
49,33,34,1,Undirected
50,33,35,1,Undirected
51,33,36,1,Undirected
52,33,37,1,Undirected
53,34,35,1,Undirected
54,34,36,1,Undirected
55,34,37,1,Undirected
56,35,36,1,Undirected
57,35,37,1,Undirected
58,36,37,1,Undirected
59,38,39,1,Undirected
60,40,41,1,Undirected
61,42,43,1,Undirected
62,44,45,21,Undirected
63,44,46,20,Undirected
64,44,47,20,Undirected
65,44,48,19,Undirected
66,44,49,23,Undirected
67,45,46,19,Undirected
68,45,47,21,Undirected
69,45,48,20,Undirected
70,45,49,18,Undirected
71,46,47,18,Undirected
72,46,48,15,Undirected
73,46,49,18,Undirected
74,47,48,23,Undirected
75,47,49,20,Undirected
76,48,49,16,Undirected
77,50,51,1,Undirected
78,53,54,1,Undirected
79,53,55,9,Undirected
80,53,56,2,Undirected
81,53,57,1,Undirected
82,54,55,1,Undirected
83,54,56,1,Undirected
84,54,57,1,Undirected
85,55,56,2,Undirected
86,55,57,1,Undirected
87,56,57,1,Undirected
88,58,59,2,Undirected
89,58,60,1,Undirected
90,58,61,1,Undirected
91,59,60,1,Undirected
92,59,61,1,Undirected
93,60,61,1,Undirected
94,62,63,1,Undirected
95,64,65,1,Undirected
96,64,66,1,Undirected
97,65,66,1,Undirected
98,67,68,1,Undirected
99,69,70,1,Undirected
100,69,71,1,Undirected
101,69,72,1,Undirected
102,70,71,1,Undirected
103,70,72,1,Undirected
104,71,72,1,Undirected
105,73,74,1,Undirected
106,73,75,1,Undirected
107,74,75,1,Undirected
108,76,77,2,Undirected
109,78,79,1,Undirected
110,80,81,1,Undirected
111,80,82,1,Undirected
112,80,83,1,Undirected
113,81,82,1,Undirected
114,81,83,1,Undirected
115,82,83,1,Undirected
116,84,85,1,Undirected
117,84,86,2,Undirected
118,84,87,2,Undirected
119,84,88,2,Undirected
120,85,86,1,Undirected
121,85,87,1,Undirected
122,85,88,1,Undirected
123,86,87,5,Undirected
124,86,88,2,Undirected
125,87,88,2,Undirected
126,89,90,1,Undirected
127,89,91,1,Undirected
128,89,92,1,Undirected
129,90,91,1,Undirected
130,90,92,1,Undirected
131,91,92,1,Undirected
132,93,94,3,Undirected
133,93,95,3,Undirected
134,93,96,3,Undirected
135,93,97,3,Undirected
